year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation2010,2010-02-14,Porto,Vila Nova de Gaia,Oliveira do Douro,Monte da Virgem,41.11258085,-8.597501604999291,NC,206.0,2010-02-14T17:00,8.1,49,-2.0,3.8,0.0,0.0.1,0.0.2,0.0.3,3,1004.1,979.3,85,0,92,100,0.11,0.55,12.6,21.6,87,93,31.7,7.4,5.6,8.5,11.5,0.371,0.382,0.389,0.411,1,3600.0,128.9,47.4,81.6,253.2,128.9.1,262.6,185.0,68.0,117.0,253.2.1,185.0.1,376.8,scientificNames
2010,2010-07-23,Viana do Castelo,Viana do Castelo,Deocriste,SRª CRASTO (Senhora do Crasto),41.6872738,-8.6939874,Desconhecida,236.0,2010-07-23T03:00,13.9,77,10.0,11.0,0.0,0.0,0.0,0.0,0,1021.0,992.8,0,0,0,0,0.04,0.36,19.6,30.4,20,27,40.7,16.3,20.6,20.1,16.4,0.116,0.166,0.255,0.353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Eucalyptus L'Hér.; Pinus pinaster Aiton
2010,2010-07-31,Porto,Amarante,Freixo de Cima,Alto da Lixa,41.3116144,-8.1353228,NC,400.0,2010-07-31T23:00,21.2,80,17.7,23.3,0.0,0.0,0.0,0.0,0,1014.3,968.5,11,0,19,0,0.0,0.49,4.1,9.5,195,191,11.2,24.2,27.2,22.0,16.5,0.093,0.154,0.242,0.349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Tracheophyta; Pinus pinaster Aiton; Magnoliopsida; Vitis vinifera L.; 
2010,2010-07-26,Aveiro,Vale de Cambra,São Pedro de Castelões,Sr da Saude,40.8390621,-8.402303678879736,NC,216.0,2010-07-26T16:00,35.5,23,11.4,35.4,0.0,0.0,0.0,0.0,0,1012.4,988.5,0,0,0,0,0.64,4.44,10.5,14.0,41,48,26.6,37.5,27.1,22.0,17.9,0.096,0.148,0.233,0.345,1,3600.0,666.1,576.8,89.3,852.9,666.1,896.7,731.0,633.0,98.0,852.9,731.0,984.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Eucalyptus L'Hér.
2010,2010-07-26,Porto,Marco de Canaveses,Vila Boa de Quires,LUG. PENA (BANHO E CARVALHOSA),41.2028475,-8.2047635,NC,275.0,2010-07-26T17:00,34.0,24,10.6,33.0,0.0,0.0,0.0,0.0,0,1012.4,982.0,0,0,0,0,0.49,4.05,8.9,11.9,58,61,24.5,34.5,25.6,20.7,16.6,0.104,0.163,0.251,0.353,1,3600.0,490.7,414.5,76.2,801.9,490.7,685.5,567.0,479.0,88.0,801.9,567.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinus pinaster Aiton; Tracheophyta; Eucalyptus L'Hér.; Magnoliopsida; Vitis vinifera L.; Quercus L.; Pinales; 
2010,2010-07-29,Aveiro,Águeda,Valongo do Vouga,Covão,40.5985506,-8.447881782405853,Desconhecida,72.0,2010-07-29T16:00,33.2,36,16.2,33.8,0.0,0.0,0.0,0.0,0,1013.1,1005.0,0,0,0,0,0.64,3.24,16.7,21.2,307,310,36.0,37.8,29.0,23.7,18.8,0.098,0.144,0.223,0.34,1,3600.0,661.5,572.3,89.2,853.1,661.5,890.1,727.0,629.0,98.0,853.1,727.0,978.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Vitis vinifera L.; Tracheophyta; Pinus pinaster Aiton
2010,2010-07-18,Porto,Santo Tirso,Sequeiró,RUA DA IGREJA (SEQUEIRO),41.365011,-8.45104189048443,NC,75.0,2010-07-18T20:00,23.7,66,17.0,24.9,0.0,0.0,0.0,0.0,0,1018.4,1009.7,0,0,0,0,0.06,1.0,8.9,12.3,297,310,21.2,26.8,25.1,21.1,17.1,0.128,0.16,0.244,0.358,1,2056.42,0.0,0.0,0.0,0.0,0.0,0.0,51.0,29.0,22.0,233.6,51.0,113.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Tracheophyta; Vitis vinifera L.
2010,2010-07-01,Aveiro,Santa Maria da Feira,Romariz,Reguengo,40.9432485,-8.4589611,Desconhecida,302.0,2010-07-01T17:00,22.5,55,13.0,21.2,0.0,0.0,0.0,0.0,0,1015.6,980.9,4,0,0,15,0.38,1.22,16.0,20.6,314,316,33.5,27.6,23.0,19.2,14.8,0.135,0.202,0.279,0.37,1,3600.0,505.6,398.2,107.4,731.5,505.6,720.3,579.0,456.0,123.0,731.5,579.0,824.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Tracheophyta; Pinales; Magnoliopsida
2010,2010-08-09,Aveiro,Santa Maria da Feira,Mosteiró,Lugar do Monte,40.8968908,-8.529469,Desconhecida,151.0,2010-08-09T14:00,33.3,34,15.4,34.5,0.0,0.0,0.0,0.0,1,1015.8,998.9,23,0,12,54,0.63,3.37,11.3,13.0,297,298,26.6,37.2,27.9,24.1,19.2,0.107,0.138,0.205,0.339,1,3600.0,718.4,467.6,250.8,542.9,718.4,1146.2,739.0,481.0,258.0,542.9,739.0,1179.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Pinales; Eucalyptus L'Hér.; Tracheophyta; Pinus pinaster Aiton
2010,2010-08-09,Viseu,Viseu,Fragosela,Espadanal,40.6240423,-7.8685856,Desconhecida,434.0,2010-08-09T12:00,32.6,32,13.6,35.1,0.0,0.0,0.0,0.0,1,1016.4,968.5,49,0,34,94,0.57,3.37,0.8,1.3,27,34,16.6,36.6,27.4,24.0,18.3,0.093,0.16,0.242,0.348,1,3600.0,792.8,546.3,246.5,608.2,792.8,1195.2,772.0,532.0,240.0,608.2,772.0,1163.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitis vinifera L.; Magnoliopsida; Acacia Mill.; Pinus pinaster Aiton; Tracheophyta
2010,2010-07-26,Braga,Vieira do Minho,Anjos,L. (ANJOS) (RUIVÃIS),41.5981299,-8.077904615482618,NC,609.0,2010-07-26T15:00,31.5,29,11.1,32.0,0.0,0.0,0.0,0.0,0,1014.7,948.1,0,0,0,0,0.68,3.3,10.9,14.6,81,80,32.8,33.7,23.9,19.5,15.2,0.104,0.175,0.266,0.359,1,3600.0,805.9,709.5,96.4,891.4,805.9,1055.3,853.0,751.0,102.0,891.4,853.0,1117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quercus L.; Pinus pinaster Aiton; Tracheophyta; Olea europaea L.
