year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation2010,2010-02-14,Porto,Vila Nova de Gaia,Oliveira do Douro,Monte da Virgem,41.11258085,-8.597501604999291,NC,206.0,2010-02-14T17:00,8.1,49,-2.0,3.8,0.0,0.0.1,0.0.2,0.0.3,3,1004.1,979.3,85,0,92,100,0.11,0.55,12.6,21.6,87,93,31.7,7.4,5.6,8.5,11.5,0.371,0.382,0.389,0.411,1,3600.0,128.9,47.4,81.6,253.2,128.9.1,262.6,185.0,68.0,117.0,253.2.1,185.0.1,376.8,scientificNames
2010,2010-08-01,Porto,Vila Nova de Gaia,Sermonde,R. RELVA (Rua da Leira da Relva),41.0468462,-8.5815966,NC,129.0,2010-08-01T14:00,27.3,53,16.8,28.9,0.0,0.0,0.0,0.0,0,1014.9,1000.1,16,2,0,49,0.59,1.72,15.5,19.1,312,316,34.9,34.9,26.5,23.3,18.4,0.089,0.121,0.186,0.321,1,3600.0,800.1,545.1,255.0,621.2,800.1,1165.1,822.0,560.0,262.0,621.2,822.0,1196.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Eucalyptus L'Hér.; Magnoliopsida
2010,2010-07-26,Aveiro,Santa Maria da Feira,Mosteiró,Lugar do Monte,40.8968908,-8.529469,Desconhecida,151.0,2010-07-26T18:00,33.9,28,12.9,33.0,0.0,0.0,0.0,0.0,0,1011.9,995.1,0,0,0,0,0.39,3.79,11.9,18.1,2,7,28.4,34.9,27.6,21.9,18.0,0.108,0.149,0.23,0.351,1,3600.0,300.3,242.5,57.8,706.5,300.3,455.1,379.0,306.0,73.0,706.5,379.0,574.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Pinales; Eucalyptus L'Hér.; Tracheophyta; Pinus pinaster Aiton
2010,2010-07-26,Porto,Amarante,Figueiró (Santa Cristina),LAMEIRINHAS (IMACULADA CONCEIÇÃO,41.2976804,-8.176926,NC,347.0,2010-07-26T22:00,27.0,36,10.5,25.8,0.0,0.0,0.0,0.0,0,1012.9,973.8,0,0,0,0,0.1,2.3,9.6,13.4,77,82,17.3,25.5,26.0,20.8,16.2,0.091,0.16,0.249,0.352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Magnoliopsida; Eucalyptus L'Hér.; Vitis vinifera L.
2010,2010-07-27,Porto,Felgueiras,Penacova,Vinha,41.3711444,-8.2502985,NC,316.0,2010-07-27T03:00,22.7,38,7.8,20.4,0.0,0.0,0.0,0.0,0,1014.0,977.8,0,0,0,0,0.1,1.71,11.9,28.4,88,91,32.8,22.0,25.4,21.0,16.4,0.098,0.156,0.244,0.35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Vitis vinifera L.; Tracheophyta; Eucalyptus L'Hér.; Pinus pinaster Aiton
2010,2010-07-30,Leiria,Pombal,Pombal,Pombal,39.92194355,-8.636895489112948,Desconhecida,58.0,2010-07-30T14:00,30.3,47,17.9,32.8,0.0,0.0,0.0,0.0,0,1012.4,1005.8,0,0,0,0,0.7,2.26,15.9,18.4,295,298,32.8,39.7,26.4,22.6,18.8,0.048,0.06,0.093,0.212,1,3600.0,900.7,792.6,108.1,892.0,900.7,1179.2,925.0,814.0,111.0,892.0,925.0,1211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Pinus pinaster Aiton; Olea europaea L.; Magnoliopsida; Eucalyptus L'Hér.
2010,2010-08-01,Aveiro,Arouca,Urrô,Fraguas,40.9220847,-8.2916827,NC,223.0,2010-08-01T18:00,26.0,54,15.9,24.8,0.0,0.0,0.0,0.0,0,1014.4,989.0,0,0,0,0,0.32,1.56,22.4,31.5,323,327,43.2,31.4,27.2,23.1,18.0,0.102,0.147,0.23,0.348,1,3600.0,284.1,225.4,58.7,690.0,284.1,433.8,363.0,288.0,75.0,690.0,363.0,554.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitis vinifera L.; Eucalyptus L'Hér.; Pinus pinaster Aiton; Magnoliopsida; Tracheophyta
2010,2010-08-01,Braga,Fafe,Revelhe,L. (REVELHE) (ABOIM),41.4850642,-8.15906990010636,NC,382.0,2010-08-01T14:00,29.2,47,16.7,31.5,0.0,0.0,0.0,0.0,0,1014.1,971.4,15,1,0,46,0.57,2.14,8.3,10.4,288,290,25.6,34.7,26.2,22.3,16.7,0.096,0.148,0.234,0.346,1,3600.0,724.7,490.2,234.4,561.8,724.7,1158.5,745.0,504.0,241.0,561.8,745.0,1191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Magnoliopsida; Vitis vinifera L.; Pinales
2010,2010-07-26,Porto,Paredes,Louredo,LUG. BELA VISTA (SOBROSA),41.2375906,-8.3423236,NC,224.0,2010-07-26T23:00,26.0,38,10.7,24.5,0.0,0.0,0.0,0.0,0,1012.9,987.4,0,0,0,0,0.11,2.07,11.6,16.9,83,88,20.2,24.4,26.2,21.1,16.9,0.113,0.154,0.237,0.353,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Magnoliopsida; Eucalyptus L'Hér.; Pinus pinaster Aiton; Vitis vinifera L.; 
2010,2010-08-01,Porto,Paredes,Gandra,AVª CENTRAL (VILA COVA DE CARROS),41.2018155,-8.4495002,Desconhecida,130.0,2010-08-01T18:00,27.2,50,16.0,26.0,0.0,0.0,0.0,0.0,0,1013.8,998.9,1,0,0,3,0.34,1.79,22.7,31.6,324,328,40.3,31.9,27.5,23.2,18.1,0.12,0.137,0.206,0.35,1,3600.0,286.2,227.4,58.8,693.4,286.2,435.4,365.0,290.0,75.0,693.4,365.0,555.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Pinus pinaster Aiton; Eucalyptus L'Hér.; Tracheophyta; Vitis vinifera L.
2010,2010-07-26,Santarém,Alcanena,Espinheiro,ESPINHEIRO,39.4436207,-8.71053,NC,56.0,2010-07-26T12:00,36.6,16,6.5,36.2,0.0,0.0,0.0,0.0,0,1012.8,1006.6,0,0,0,0,0.79,5.15,10.9,12.3,34,58,22.7,37.3,27.3,23.3,19.4,0.076,0.169,0.253,0.348,1,3600.0,943.4,833.4,110.0,898.4,943.4,1230.0,918.0,811.0,107.0,898.4,918.0,1196.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Magnoliopsida; Olea europaea L.; Quercus suber L.; Pinus pinea L.; Quercus L.; Tracheophyta; Pinus pinaster Aiton; 
