ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf,LAT,LON
2012,BL212326,Florestal,Coimbra,Vila Nova de Poiares,Arrifana,Ervideira,61701,189335,363276,2012-03-22,15:10:00,2012-03-22,18:00:00,2012-03-22,15:18:00,Outros,PT12041401,0.06,0.0,0.0,0.06,0.06,0,0,0,1,0,0,,,610.0,Desconhecida,Beira Litoral,Pinhal Interior Norte,40.2282359,-8.2761381
2012,BL312712,Florestal,Aveiro,Oliveira de Azemeis,Travanca,Senhora das Flores,11316,173337,439899,2012-03-22,13:15:00,2012-03-22,16:30:00,2012-03-22,13:46:00,117,PT11060316,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,,711.0,Reacendimento,Entre Douro e Minho,AMP e Entre Douro e Vouga,40.8142477,-8.4827757
2012,BL312718,Florestal,Aveiro,Santa Maria da Feira,Romariz,Goim (junto ás pedreiras),10922,166179,437071,2012-03-22,15:10:00,2012-03-22,17:25:00,2012-03-22,15:25:00,117,PT11060222,0.0,0.3,0.0,0.3,0.3,1,0,0,1,0,0,,,711.0,Reacendimento,Entre Douro e Minho,AMP e Entre Douro e Vouga,40.9432485,-8.4589611
2012,DM2121253,Florestal,Porto,Vila do Conde,Vilar,RUA DO OUTEIRO (Rua de Quires),131629,155831,476666,2012-03-22,13:45:00,2012-03-22,14:50:00,2012-03-22,14:15:00,Outros,PT11040829,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga,41.2887444,-8.6738968
2012,BL312720,Florestal,Aveiro,Albergaria-a-Velha,Valmaior,Junto ao Cemitério (RIBEIRA DE FRÁGOAS),10208,173777,419066,2012-03-22,18:43:00,2012-03-22,21:30:00,2012-03-22,18:47:00,117,PT12010208,0.04,0.0,0.0,0.04,0.04,0,0,0,1,0,0,,,6.0,Desconhecida,Beira Litoral,Centro Litoral,40.6994201,-8.4615215
2012,DM2121257,Florestal,Porto,Matosinhos,Guifões,R. PONTE DO CARRO (Rua Ponte do Carro),130802,155321,471609,2012-03-23,09:45:00,2012-03-23,11:11:00,2012-03-23,09:53:00,Populares,PT11040402,0.0,0.08,0.0,0.08,0.08,0,0,0,1,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga,41.2154293,-8.6666738
2012,TM112845,Florestal,Vila Real,Chaves,Redondelo,São Domingos,170324,245986,527018,2012-03-23,22:05:00,2012-03-23,23:35:00,2012-03-23,22:20:00,117,PT11080424,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,Trás-os-Montes,Barroso e Padrela,41.7040114,-7.5685288
2012,BL212327,Florestal,Coimbra,Oliveira do Hospital,Nogueira do Cravo,Senhor das Almas,61111,222873,374022,2012-03-23,06:20:00,2012-03-23,09:55:00,2012-03-23,06:33:00,117,PT12040911,0.7,0.3,0.0,1.0,1.0,1,0,0,0,1,0,,,711.0,Reacendimento,Beira Litoral,Pinhal Interior Norte,40.3332221,-7.8676353
2012,DM2121268,Florestal,Porto,Paços de Ferreira,Ferreira,Rua de Chaves,130905,182186,479668,2012-03-23,10:39:00,2012-03-23,12:25:00,2012-03-23,10:45:00,117,PT11051105,0.77,0.0,0.0,0.77,0.77,0,0,0,1,0,0,,,,,Entre Douro e Minho,Tâmega,41.2769695,-8.37593774579832
2012,BL312735,Florestal,Aveiro,Albergaria-a-Velha,Alquerubim,Paus,10202,170042,407403,2012-03-23,14:08:00,2012-03-23,16:50:00,2012-03-23,14:16:00,Populares,PT12010202,0.3,0.0,0.0,0.3,0.3,0,0,0,1,0,0,,,6.0,Desconhecida,Beira Litoral,Centro Litoral,40.6211753,-8.5090385
