ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,LAT,LON
2010,DM2102597,Florestal,Porto,Marco de Canaveses,Tuias,RUA DA ZONA INDUSTRIAL,130727,197440.0,474255.0,2010-07-29,05:42:00,2010-07-29,07:14:00,2010-07-29,05:55:00,Populares,PT11050927,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,,,,,41.17549355,-8.16457827943076
2010,DM210936,Florestal,Porto,Santo Tirso,Rebordões,Sª. JOÃO CARVALHINHO (São João de Carvalhido),131416,174191.0,486864.0,2010-06-26,14:30:00,2010-06-26,15:52:00,2010-06-26,14:40:00,Populares,PT11030416,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,,,41.3524388,-8.4295071
2010,DM410790,Florestal,Braga,Vila Verde,Valdreu,SENINHA(VALDREU) (Seninha),31355,183674.0,528740.0,2010-07-22,10:59:00,2010-07-22,14:55:00,2010-07-22,11:08:00,Populares,PT11020655,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,,,,,41.7263368,-8.316646445788313
2010,RO210650,Florestal,Lisboa,Sintra,Sintra (são Pedro De Penaferrim),QTA DOS BERNARDOS (Quinta dos Bernardos),111112,92662.0,198567.0,2010-07-19,10:22:00,2010-07-19,11:58:00,2010-07-19,10:37:00,Outros,PT13020612,0.0,0.002,0.0,0.002,0.002,0,0,0,1,0,0,,,6.0,Desconhecida,38.7693037,-9.393216066576992
2010,DM410807,Florestal,Braga,Celorico de Basto,Ourilhe,NAVAIS (OURILHE) (Navais),30516,209848.0,493684.0,2010-07-23,12:08:00,2010-07-23,14:00:00,2010-07-23,12:15:00,Populares,PT11050516,0.01,0.0,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.388259,-8.000059
2010,DM310568,Florestal,Viana do Castelo,Caminha,Vile,Cruzeiro,160220,143280.0,539132.0,2010-07-10,21:34:00,2010-07-10,23:00:00,2010-07-10,21:40:00,Sapadores,PT11010220,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,,,630.0,Desconhecida,41.812946,-8.8348599
2010,RO210343,Florestal,Lisboa,Sintra,Casal de Cambra,AV TIMOR C/ R VILA FRANCA DE XIRA (ALMARGEM DO BISPO),111115,100993.0,209160.0,2010-06-26,14:55:00,2010-06-26,15:57:00,2010-06-26,15:04:00,Populares,PT13020615,0.0,0.001,0.0,0.001,0.001,0,0,0,1,0,0,,,610.0,Desconhecida,38.8005207,-9.2307698
2010,DM210940,Florestal,Porto,Vila Nova de Gaia,São Félix Da Marinha,RUA DE S. FELIX DA MARINHA (Rua Futebol Sao Felix da Marinha),131717,158594.0,452756.0,2010-06-26,15:09:00,2010-06-26,17:11:00,2010-06-26,15:25:00,117,PT11040917,0.01,0.0,0.0,0.01,0.01,0,0,0,1,0,0,,,,,41.042316,-8.624836622400455
2010,DM410473,Florestal,Braga,Amares,Figueiredo,L. DEVESA DO MONTE (Santa Marta),30110,186841.0,520879.0,2010-06-16,16:15:00,2010-06-24,16:55:00,2010-06-24,15:18:00,117,PT11020110,0.4,0.05,0.0,0.45,0.45,0,0,0,1,0,0,,,60.0,Desconhecida,41.62941565,-8.331386040879558
2010,BL310864,Florestal,Aveiro,Oliveira de Azeméis,Vila de Cucujães,Monte,11319,170014.0,431088.0,2010-07-09,15:26:00,2010-07-09,16:16:00,2010-07-09,15:33:00,Populares,PT11060319,0.0,0.0417,0.0,0.0417,0.0417,0,0,0,1,0,0,,,6.0,Desconhecida,40.89011425,-8.514226222399532
