,year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
8449,2017,2017-11-19,Santarém,Cartaxo,Valada,VALADA (Quinta de Santo António),39.0924429999457,-8.76888200004896,Desconhecida,2.0,2017-11-19T15:00,21.7,38,6.6,19.7,0.0,0.0,0.0,0.0,0,1019.4,1019.2,0,0,0,0,0.26,1.62,7.7,9.9,28,33,16.6,18.6,14.3,16.5,21.4,0.17,0.223,0.195,0.234,1,3600.0,335.6,271.6,64.0,777.1,335.6,489.6,388.0,314.0,74.0,777.1,388.0,566.0,Tracheophyta
8506,2017,2017-07-16,Lisboa,Azambuja,Azambuja,Reguengo (ALQUEIDÃO),39.0672550000085,-8.80021199999584,Desconhecida,3.0,2017-07-16T15:00,33.9,31,14.3,35.6,0.0,0.0,0.0,0.0,0,1015.6,1015.3,0,0,0,0,0.72,3.65,10.9,13.4,236,239,26.3,32.4,25.6,23.6,20.3,0.285,0.299,0.332,0.355,1,3600.0,825.0,707.7,117.3,859.6,825.0,1089.9,872.0,748.0,124.0,859.6,872.0,1152.0,
