latitude,longitude,altitude,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix
40.03515,-7.8041687,563.0,2019-07-03T12:00,25.0,40,10.7,24.7,0.0,0.0,0.0,0.0,1,1013.4,950.5,30,0,0,100,0.59,1.89,13.7,18.1,162,163,37.4,25.8,20.7,18.4,14.5,0.147,0.176,0.23,0.311,1,3600.0,829.0,525.0,304.0,567.3,829.0,1224.5,848.7,537.5,311.2,567.3,848.7,1253.7,35.84951665369875
40.03515,-7.8041687,563.0,2019-07-04T12:00,22.0,52,11.7,21.8,0.0,0.0,0.0,0.0,3,1016.1,952.4,95,99,0,20,0.5,1.27,13.6,17.7,158,156,33.8,24.1,20.4,18.6,14.6,0.145,0.175,0.228,0.311,1,3600.0,774.0,449.0,325.0,485.5,774.0,1223.7,792.5,459.7,332.8,485.5,792.5,1253.0,27.764700109817205
40.03515,-7.8041687,563.0,2019-07-05T12:00,22.9,44,10.0,23.6,0.0,0.0,0.0,0.0,0,1017.9,954.3,0,0,0,0,0.6,1.57,10.0,12.6,201,200,33.8,25.8,20.3,18.7,14.7,0.143,0.172,0.227,0.311,1,3600.0,919.0,797.0,122.0,862.4,919.0,1222.8,941.1,816.1,124.9,862.4,941.1,1252.2,28.49417551849309
40.03515,-7.8041687,563.0,2019-07-06T12:00,24.3,42,10.6,25.2,0.0,0.0,0.0,0.0,0,1016.3,953.0,16,16,2,0,0.64,1.75,10.8,13.4,233,234,29.5,26.8,20.6,18.8,14.8,0.132,0.169,0.224,0.31,1,3600.0,952.0,841.0,111.0,910.6,952.0,1221.9,975.0,861.3,113.7,910.6,975.0,1251.4,31.31935045556107
40.03515,-7.8041687,563.0,2019-07-07T12:00,23.8,43,10.4,24.3,0.0,0.0,0.0,0.0,3,1014.5,951.2,100,39,100,64,0.62,1.68,11.5,14.5,256,256,24.8,26.6,20.6,18.9,14.8,0.13,0.168,0.224,0.31,1,3600.0,927.0,791.0,136.0,857.2,927.0,1221.0,949.5,810.2,139.3,857.2,949.5,1250.6,31.089451934337855
40.03515,-7.8041687,563.0,2019-07-08T12:00,22.1,47,10.2,22.1,0.0,0.0,0.0,0.0,2,1014.6,951.0,70,68,12,4,0.52,1.41,9.9,12.4,289,292,31.3,25.1,20.3,19.0,14.9,0.132,0.168,0.223,0.309,1,3600.0,800.0,588.0,212.0,637.7,800.0,1220.0,819.5,602.3,217.2,637.7,819.5,1249.7,26.093290933139375
40.03515,-7.8041687,563.0,2019-07-09T12:00,26.5,38,11.2,26.4,0.0,0.0,0.0,0.0,2,1015.8,953.0,58,10,81,0,0.53,2.13,8.6,10.5,2,6,22.7,27.3,20.6,19.0,15.0,0.128,0.167,0.222,0.309,1,3600.0,702.0,390.0,312.0,423.3,702.0,1219.0,719.2,399.5,319.6,423.3,719.2,1248.8,31.607219771616222
40.03515,-7.8041687,563.0,2019-07-10T12:00,29.9,29,9.8,30.5,0.0,0.0,0.0,0.0,0,1015.2,953.1,0,0,0,1,0.71,3.0,10.3,12.8,78,79,32.0,29.7,21.9,19.1,15.1,0.125,0.165,0.22,0.309,1,3600.0,925.0,823.0,102.0,894.1,925.0,1217.9,947.7,843.2,104.5,894.1,947.7,1247.9,42.40873782192936
40.03515,-7.8041687,563.0,2019-07-11T12:00,33.5,22,9.1,34.9,0.0,0.0,0.0,0.0,0,1014.0,952.7,0,0,0,0,0.72,4.02,5.4,6.7,53,54,20.2,32.9,23.7,19.5,15.2,0.122,0.164,0.218,0.308,1,3600.0,932.0,831.0,101.0,903.7,932.0,1216.9,955.0,851.5,103.5,903.7,955.0,1246.9,43.79093107873917
40.03515,-7.8041687,563.0,2019-07-12T12:00,28.8,33,10.9,27.9,0.0,0.0,0.0,0.0,1,1016.1,953.8,31,0,3,97,0.49,2.66,9.3,11.9,196,194,26.6,28.5,24.8,19.9,15.2,0.123,0.164,0.218,0.309,1,3600.0,586.0,222.0,364.0,241.6,586.0,1215.8,600.5,227.5,373.0,241.6,600.5,1245.9,40.86871579905258
40.03515,-7.8041687,563.0,2019-07-13T12:00,23.9,56,14.7,24.3,0.2,0.2,0.0,0.0,51,1015.7,952.4,84,81,12,14,0.43,1.3,10.2,12.5,198,198,26.3,25.6,23.9,20.3,15.3,0.127,0.162,0.216,0.307,1,3600.0,613.0,347.0,266.0,378.1,613.0,1214.6,628.3,355.6,272.6,378.1,628.3,1244.9,23.613158428081736
40.03515,-7.8041687,563.0,2019-07-14T12:00,29.0,45,15.7,32.3,0.0,0.0,0.0,0.0,0,1014.9,952.7,0,0,0,0,0.66,2.22,5.8,7.3,300,303,22.3,30.0,22.4,20.4,15.4,0.134,0.162,0.215,0.307,1,3600.0,907.0,799.0,108.0,871.5,907.0,1213.5,929.7,819.0,110.7,871.5,929.7,1243.8,26.348444828462274
40.03515,-7.8041687,563.0,2019-07-15T12:00,29.5,41,15.0,32.4,0.0,0.0,0.0,0.0,0,1014.4,952.3,11,0,0,37,0.68,2.41,7.1,8.2,294,293,28.1,29.9,23.0,20.5,15.5,0.132,0.165,0.214,0.306,1,3600.0,923.0,824.0,99.0,899.7,923.0,1212.3,946.2,844.7,101.5,899.7,946.2,1242.7,30.316462175609818
40.03515,-7.8041687,563.0,2019-07-16T12:00,29.3,43,15.3,31.7,0.0,0.0,0.0,0.0,1,1013.1,951.0,32,22,0,39,0.66,2.34,9.2,11.1,154,155,29.9,30.2,23.2,20.7,15.6,0.133,0.166,0.215,0.306,1,3600.0,885.0,711.0,174.0,777.2,885.0,1211.1,907.3,728.9,178.4,777.2,907.3,1241.6,31.68830340691665
40.03515,-7.8041687,563.0,2019-07-17T12:00,27.6,51,16.7,30.4,0.0,0.0,0.0,0.0,1,1014.7,952.2,22,5,29,0,0.61,1.8,8.9,10.7,317,315,36.0,29.0,23.2,20.8,15.7,0.137,0.165,0.215,0.305,1,3600.0,852.0,723.0,129.0,791.2,852.0,1209.9,873.5,741.3,132.3,791.2,873.5,1240.4,26.244589173235344
40.03515,-7.8041687,563.0,2019-07-18T12:00,30.1,35,12.8,32.7,0.0,0.0,0.0,0.0,0,1015.0,953.0,0,0,0,0,0.69,2.79,4.8,5.1,318,315,25.2,30.4,23.2,20.9,15.8,0.138,0.164,0.214,0.305,1,3600.0,934.0,834.0,100.0,913.7,934.0,1208.6,957.7,855.2,102.5,913.7,957.7,1239.3,31.79252718819317
40.03515,-7.8041687,563.0,2019-07-19T12:00,33.1,28,12.4,34.4,0.0,0.0,0.0,0.0,0,1013.1,951.8,6,0,10,0,0.7,3.61,8.7,10.4,253,250,30.6,32.6,24.2,21.1,15.9,0.132,0.162,0.212,0.304,1,3600.0,860.0,736.0,124.0,807.3,860.0,1207.3,881.9,754.7,127.2,807.3,881.9,1238.0,43.25130107721629
40.03515,-7.8041687,563.0,2019-07-20T12:00,29.0,36,12.5,29.3,0.0,0.0,0.0,0.0,0,1016.0,953.7,0,0,0,0,0.71,2.55,16.6,21.1,330,333,45.0,29.6,23.9,21.3,16.0,0.125,0.161,0.21,0.304,1,3600.0,925.0,824.0,101.0,905.0,925.0,1206.0,948.6,845.0,103.6,905.0,948.6,1236.8,45.10346659145143
