DISTRITO,TIPO,ANO,AREAPOV,AREAMATO,AREAAGRIC,AREATOTAL,REACENDIMENTOS,QUEIMADA,FALSOALARME,FOGACHO,INCENDIO,AGRICOLA,NCCO,NOMECCO,DATAALERTA,HORAALERTA,LOCAL,CONCELHO,FREGUESIA,FONTEALERTA,INE,X,Y,DIA,MES,HORA,OPERADOR,PERIMETRO,APS,CAUSA,TIPOCAUSA,DHINICIO,DHFIM,DURACAO,HAHORA,DATAEXTINCAO,HORAEXTINCAO,DATA1INTERVENCAO,HORA1INTERVENCAO,QUEIMA,LAT,LON,CAUSAFAMILIA,TEMPERATURA,HUMIDADERELATIVA,VENTOINTENSIDADE,VENTOINTENSIDADE_VETOR,VENTODIRECAO_VETOR,PRECEPITACAO,FFMC,DMC,DC,ISI,BUI,FWI,DSR,THC,MODFARSITE,ALTITUDEMEDIA,DECLIVEMEDIO,HORASEXPOSICAOMEDIA,DENDIDADERV,COSN5VARIEDADE,AREAMANCHAMODFARSITE,AREASFICHEIROS_GNR,AREASFICHEIROS_GTF,FICHEIROIMAGEM_GNR,AREASFICHEIROSHP_GTF,AREASFICHEIROSHPXML_GTF,AREASFICHEIRODBF_GTF,AREASFICHEIROPRJ_GTF,AREASFICHEIROSBN_GTF,AREASFICHEIROSBX_GTF,AREASFICHEIROSHX_GTF,AREASFICHEIROZIP_SAA
Aveiro,Florestal,2022,8.56137772240937,19.401109613511,0.0,27.9624873359203,0,0,0,0,1,0,2022010006195,1,21-01-2022,21:41,Bustelo,Arouca,Alvarenga,117,10402,201383,445581,21,1,21,2195355,Perimetro Florestal da Serra de Montemuro,,6.0,Desconhecida,21-01-2022 21:41:00,22-01-2022 03:57:00,376,4.66041455598672,22-01-2022,03:57,21-01-2022,22:10,0,40.9794444444444,-8.11666666666667,Indeterminadas,5.16270000000003,54.2819166278416,13.2509643875444,3.81942018975016,87.0,0.0,85.195644742207,6.02522472640136,18.36912,5.43517591760964,6.62105013877702,4.76617556365858,0.431449397844359,,232.0,275.698,27.4418,,281.08,16.14,6.5494,http://fogos.icnf.pt/sgif2010/ficheiroskml/2022_01_0006195.kml,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.0076,0.0,0.0076,0,0,0,1,0,0,2022010007819,1,26-01-2022,22:33,Travessa da Boavista - Esgueira,Aveiro,Esgueira,112,10505,159647,408701,26,1,22,1985053,,,610.0,Desconhecida,26-01-2022 22:33:00,27-01-2022 00:38:00,125,0.0038,27-01-2022,00:38,26-01-2022,22:46,0,40.6461111111111,-8.61027777777778,Indeterminadas,8.37480000000005,74.4745378238049,9.90116039309201,2.89625899910979,63.0,0.0,86.2020946467511,12.4746811782529,79.411529676701,3.43551852759633,17.9140930393887,5.22338070056131,0.50739172231571,,,24.1819,1.8798,,784.353,23.75,,,,,,,,,,,,
Aveiro,Florestal,2022,0.544634443473816,0.0,0.0,0.544634443473816,0,0,0,1,0,0,2022010008422,1,28-01-2022,16:54,Rua de Linhares (Gândara),Santa Maria da Feira,Guisande,112,10910,170502,444371,28,1,16,2195462,,,6.0,Desconhecida,28-01-2022 16:54:00,28-01-2022 18:32:00,98,0.544634443473816,28-01-2022,18:32,28-01-2022,17:05,0,40.9678800000085,-8.48355299999317,Indeterminadas,15.6469,39.091349075357,8.47059655055791,2.7997653443892,49.0,0.0,87.1997114700743,12.4070247633851,43.6982153637227,6.36909956327314,14.5127270284124,8.25540753365449,1.14076471556552,,227.0,217.094,6.58409,,562.736,15.74,83.4324,,,,,,,,,,,
Aveiro,Florestal,2022,0.0109,0.0,0.0,0.0109,0,0,0,1,0,0,2022010008511,1,28-01-2022,23:57,Fontes,Albergaria-a-Velha,Alquerubim,112,10202,167739,405556,28,1,23,1985058,,,6.0,Desconhecida,28-01-2022 23:57:00,29-01-2022 00:27:00,30,0.0109,29-01-2022,00:27,29-01-2022,00:05,0,40.6183333333333,-8.51444444444444,Indeterminadas,8.56720000000001,52.3751971429388,12.5953384804589,3.5541327842299,80.0,0.0,86.9724501120625,14.3472138526505,83.807671676701,5.46174571397231,20.0944138978469,8.58920889183938,1.22367477107968,,232.0,31.1581,8.29766,,384.191,11.13,502.29,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.0081,0.0,0.0081,0,0,0,1,0,0,2022010008517,1,29-01-2022,00:48,VIA IC2 CLAVEL (Clavel),Oliveira de Azeméis,Travanca,112,11316,171002,426395,29,1,0,2195356,,,6.0,Desconhecida,29-01-2022 00:48:00,29-01-2022 01:40:00,52,0.0081,29-01-2022,01:40,29-01-2022,00:58,0,40.8060300000509,-8.47676699956258,Indeterminadas,8.98740000000004,47.3171288333158,13.0359061207276,3.71567605725055,82.0,0.0,87.9232971844606,14.7316021251743,44.9997512755038,5.78381340668131,16.2025786327586,8.03717796339518,1.08793324761548,,,248.705,20.1909,,464.684,14.35,,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.002,0.0,0.002,0,0,0,1,0,0,2022010008626,1,29-01-2022,12:34,Cabeço da Fonte,Oliveira do Bairro,Bustos,112,11401,159785,392043,29,1,12,1985059,,,610.0,Desconhecida,29-01-2022 12:34:00,29-01-2022 13:45:00,71,0.002,29-01-2022,13:45,29-01-2022,12:55,0,40.4961111111111,-8.6075,Indeterminadas,14.4006,40.8473946491091,12.4176488633017,3.28454327631155,88.0,0.0,87.8035157249092,15.4760105192499,86.103779676701,5.84909444193908,21.3559156981335,9.41653717205214,1.439979709329,,,30.2869,4.05756,,311.544,19.46,,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.0024,0.0,0.0024,0,0,0,1,0,0,2022010008682,1,29-01-2022,15:45,Arrifaninha (Souto),Vale de Cambra,Codal,Populares,11904,177203,433053,29,1,15,2195462,,,6.0,Desconhecida,29-01-2022 15:45:00,29-01-2022 15:59:00,14,0.0024,29-01-2022,15:59,29-01-2022,15:55,0,40.8661770004696,-8.40353000005086,Indeterminadas,16.5828,30.2219939356513,10.8616956374481,3.01713767706892,82.0,0.0,87.9273263078431,13.7718814892875,36.4919780000001,5.78457979215974,14.1723429031761,7.48500760441916,0.959155848522055,,227.0,425.093,23.1553,,712.746,17.42,218.88,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.0096,0.0,0.0096,0,0,0,1,0,0,2022010008825,1,30-01-2022,04:35,Rua Manuel Pé Darca (Rio Uima),Santa Maria da Feira,Caldas de São Jorge,Populares,10927,169292,442900,30,1,4,2195462,,,6.0,Desconhecida,30-01-2022 04:35:00,30-01-2022 05:03:00,28,0.0096,30-01-2022,05:03,30-01-2022,04:45,0,40.9545830000771,-8.49784799999661,Indeterminadas,7.89670000000001,63.5459161272067,13.3473503518676,3.76464055044203,89.0,0.0,87.781271878132,14.4225526990889,48.0628393637227,4.49170274585536,16.4811044237504,6.44580438654597,0.736189144712666,,223.0,163.337,11.5853,,627.725,17.89,100.685,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.0544,0.0,0.0544,0,0,0,1,0,0,2022010008898,1,30-01-2022,11:34,Cabrum (Paraduca),Vale de Cambra,Arões,Populares,11901,188612,426828,30,1,11,2195355,,,6.0,Desconhecida,30-01-2022 11:34:00,30-01-2022 14:41:00,187,0.0181333333333333,30-01-2022,14:41,30-01-2022,11:50,0,40.8103649997711,-8.26808499998516,Indeterminadas,12.1605,45.2006117100545,9.12191366938268,1.79803572703774,82.0,0.0,88.2793418527957,14.9124945904878,38.7238080000001,4.88546649098344,15.1955329097602,6.66058179792362,0.780163159127081,,232.0,702.731,30.201,,140.872,10.11,74.3984,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.05,0.0,0.05,0,0,0,1,0,0,2022010008915,1,30-01-2022,12:32,R REGATO 230 FIAES,Santa Maria da Feira,Fiães,112,10907,166541,446716,30,1,12,2010346,,,630.0,Desconhecida,30-01-2022 12:32:00,30-01-2022 13:35:00,63,0.05,30-01-2022,13:35,30-01-2022,12:45,0,40.9888388888041,-8.53073611153497,Indeterminadas,13.6639,48.5948860054198,7.24061485979969,1.75243466306693,80.0,0.0,87.781271878132,14.4225526990889,48.0628393637227,4.49170274585536,16.4811044237504,6.44580438654597,0.736189144712666,,,195.025,6.8545,,839.908,16.84,,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.079,0.0,0.079,0,0,0,1,0,0,2022010008941,1,30-01-2022,14:01,Arroteia,Anadia,São Lourenço do Bairro,112,10310,167690,385604,30,1,14,1985059,,,620.0,Desconhecida,30-01-2022 14:01:00,30-01-2022 14:58:00,57,0.079,30-01-2022,14:58,30-01-2022,14:24,0,40.4386111111111,-8.51388888888889,Indeterminadas,17.1774,36.3770783917899,2.78261313815412,0.772948093931701,352.0,0.0,88.0099534659258,16.6194728754737,88.450485676701,4.06986070461653,22.6155362632567,7.06853155322348,0.866725531164266,,,54.9156,8.25958,,289.262,20.78,,http://fogos.icnf.pt/sgif2010/ficheiroskml/2022_01_0008941.kml,,,,,,,,,,
Aveiro,Florestal,2022,0.0083,0.0,0.0,0.0083,0,0,0,1,0,0,2022010009003,1,30-01-2022,18:25,Travessa da Rua da Agra - Póvoa do Paço,Aveiro,Esgueira,112,10505,157623,411807,30,1,18,1985053,,,610.0,Desconhecida,30-01-2022 18:25:00,30-01-2022 19:35:00,70,0.0083,30-01-2022,19:35,30-01-2022,18:40,0,40.6741666666667,-8.63444444444444,Indeterminadas,11.3854,63.6874623508001,8.44635199790499,2.24228751880931,352.0,0.0,88.0099534659258,16.6194728754737,88.450485676701,4.06986070461653,22.6155362632567,7.06853155322348,0.866725531164266,,232.0,-7.08938,2.27081,,526.909,13.26,374.933,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.3943,0.0,0.3943,0,0,0,1,0,0,2022010009093,1,31-01-2022,05:56,Salgueira,Vale de Cambra,Arões,112,11901,185972,426729,31,1,5,2195355,,,6.0,Desconhecida,31-01-2022 05:56:00,31-01-2022 06:59:00,63,0.3943,31-01-2022,06:59,31-01-2022,07:00,0,40.8094269996219,-8.29937300046285,Indeterminadas,2.57980000000003,66.8539547257067,5.75657481561968,1.58846144249744,77.0,0.0,88.3281312535497,16.0207987737274,41.0113840000001,4.168165672932,16.2104053130581,5.94682129461814,0.638341611436806,,,558.607,14.4917,,159.229,14.79,,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.3583,0.0,0.3583,0,0,0,1,0,0,2022010009595,1,01-02-2022,14:46,Cimo de Vila (Leiria),Santa Maria da Feira,Guisande,112,10910,170934,444097,1,2,14,2195355,,,6.0,Desconhecida,01-02-2022 14:46:00,01-02-2022 15:47:00,61,0.3583,01-02-2022,15:47,01-02-2022,15:10,0,40.9654219998254,-8.47841300010681,Indeterminadas,16.428,44.3952794182222,19.3564157259032,5.08365440306523,52.0,0.0,87.3223770578084,16.3858736162216,52.4750733637227,7.70344809415135,18.4043697035661,10.9565892937266,1.88275726040943,,237.0,236.281,14.8466,,487.209,17.69,11.181,,,,,,,,,,,
Aveiro,Florestal,2022,0.804196320056915,0.0,0.0,0.804196320056915,0,0,0,1,0,0,2022010009615,1,01-02-2022,15:37,R AZEVEDO (Cavadas),Santa Maria da Feira,Pigeiros,112,10920,170586,442939,1,2,15,2195462,,,6.0,Desconhecida,01-02-2022 15:37:00,01-02-2022 19:53:00,256,0.201049080014229,01-02-2022,19:53,01-02-2022,16:00,0,40.9549819999271,-8.48248799959818,Indeterminadas,16.7249,44.8428050583283,17.2620805733062,3.76898867580309,45.0,0.0,87.3223770578084,16.3858736162216,52.4750733637227,7.70344809415135,18.4043697035661,10.9565892937266,1.88275726040943,,223.0,163.337,11.5853,,627.725,17.89,100.685,,,,,,,,,,,
Aveiro,Florestal,2022,2.27987578039169,0.0,0.0,2.27987578039169,0,0,0,0,1,0,2022010009623,1,01-02-2022,15:52,Quinta Costa (Estoze),Santa Maria da Feira,Guisande,112,10910,170444,443378,1,2,15,2195355,,,6.0,Desconhecida,01-02-2022 15:52:00,01-02-2022 17:59:00,127,1.13993789019585,01-02-2022,17:59,01-02-2022,16:20,0,40.9589350001017,-8.48419999996821,Indeterminadas,16.7249,44.8428050583283,17.2620805733062,4.18061064161698,42.0,0.0,87.3223770578084,16.3858736162216,52.4750733637227,7.70344809415135,18.4043697035661,10.9565892937266,1.88275726040943,,,278.66,11.529,,692.388,17.15,,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.3286,0.0,0.3286,0,0,0,1,0,0,2022010010209,1,03-02-2022,13:25,Rua do Caminho Novo (Vizo),Santa Maria da Feira,Guisande,Populares,10910,171576,445042,3,2,13,2195462,,,6.0,Desconhecida,03-02-2022 13:25:00,03-02-2022 15:36:00,131,0.1643,03-02-2022,15:36,03-02-2022,13:42,0,40.9739530001746,-8.47082300000721,Indeterminadas,13.1061,70.3221537276917,7.53955312750526,2.22864915435256,253.0,0.0,85.5466448778824,17.7883467844665,46.2368860000001,2.97869357700337,18.1346739512765,4.54724806238895,0.396994059779373,,227.0,190.732,8.40695,,521.932,20.43,9.67899,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.115,0.0,0.115,0,0,0,1,0,0,2022010010304,1,03-02-2022,17:22,Ribeira da Tojeira,Oliveira do Bairro,Palhaça,112,11405,161512,394492,3,2,17,1985059,,,610.0,Desconhecida,03-02-2022 17:22:00,03-02-2022 21:48:00,266,0.02875,03-02-2022,21:48,,,0,40.5183333333333,-8.58722222222222,Indeterminadas,13.5767,79.0525211687283,5.61302282384419,1.62294925854052,284.0,0.0,85.2916197367609,20.6805499111871,98.0282536767011,2.87392874469492,27.0791855131236,5.68826745461382,0.590042804331398,,,35.32,5.89423,,258.791,13.69,,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.0089,0.0,0.0089,0,0,0,1,0,0,2022010010535,1,04-02-2022,12:28,Rua do Cabeço Serrano - Azurva,Aveiro,Eixo,112,10504,160348,408071,4,2,12,1985053,,,610.0,Desconhecida,04-02-2022 12:28:00,04-02-2022 14:05:00,97,0.0089,04-02-2022,14:05,04-02-2022,12:43,0,40.6405555555556,-8.60194444444445,Indeterminadas,13.8969,77.7747871084073,10.1052898003055,3.40747098071159,337.0,0.0535718,83.5105627195579,21.1540157650384,100.233695676701,2.87031890491971,27.6954374955676,5.76443786086569,0.604099848356004,,231.0,4.16437,4.15369,,690.285,22.15,2.09612,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.0025,0.0,0.0025,0,0,0,1,0,0,2022010010853,1,05-02-2022,12:21,Maceda (IC1 (IC1) Km 28),Ovar,Maceda,112,11504,159933,438892,5,2,12,2045015,,,6.0,Desconhecida,05-02-2022 12:21:00,05-02-2022 12:53:00,32,0.0025,05-02-2022,12:53,05-02-2022,12:29,0,40.9180919999546,-8.60875299983555,Indeterminadas,13.9916,65.44938517749,7.83601850323298,2.17667180645361,53.0,0.0,83.5803797889943,20.9745178327466,61.0650552755038,2.58370094239788,22.5690723932926,4.5277927457062,0.393992612420034,,,32.0325,5.94902,,601.298,12.78,,,,,,,,,,,,
Porto,Florestal,2022,2.97,0.0,0.0,2.97,0,0,0,0,1,0,2022010010882,1,05-02-2022,13:47,Cancela da Cruz,Vila Nova de Gaia,Sandim,Outros,131715,168940,452001,5,2,13,1990777,,,610.0,Desconhecida,05-02-2022 13:47:00,05-02-2022 15:03:00,76,2.97,05-02-2022,15:03,05-02-2022,14:02,0,41.0365179999669,-8.50248700009452,Indeterminadas,14.2765,64.7168558342264,9.07723410312629,2.74493001900352,24.0,0.0,82.5432264847149,18.7987278469423,61.0837573637227,2.30644123734294,21.2489045233412,3.83839558556449,0.294112801659484,,,213.684,11.0271,,561.346,18.84,,http://fogos.icnf.pt/sgif2010/ficheiroskml/2022010010882.kml,http://fogos.icnf.pt/sgif2010/GTF_kml/Oc_10882.kml,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.1439,0.0,0.1439,0,0,0,1,0,0,2022010010906,1,05-02-2022,14:34,Rua Malha (Igreja),Santa Maria da Feira,Pigeiros,112,10920,170292,442823,5,2,14,2195355,,,6.0,Desconhecida,05-02-2022 14:34:00,05-02-2022 17:20:00,166,0.07195,05-02-2022,17:20,05-02-2022,14:49,0,40.9539299999343,-8.4859680000941,Indeterminadas,14.9779,62.2731073980488,10.1738632742578,3.25388575264324,1.0,0.0,82.5432264847149,18.7987278469423,61.0837573637227,2.30644123734294,21.2489045233412,3.83839558556449,0.294112801659484,,,237.148,8.99697,,548.263,15.55,,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.002,0.0,0.002,0,0,0,1,0,0,2022010011486,1,07-02-2022,14:30,Rua Eça de Queiros (Fiães),Santa Maria da Feira,Fiães,Populares,10907,167200,445800,7,2,14,2010346,,,630.0,Desconhecida,07-02-2022 14:30:00,07-02-2022 14:57:00,27,0.002,07-02-2022,14:57,07-02-2022,14:32,0,40.9806129995982,-8.5228599998686,Indeterminadas,16.8346,48.3533643237464,8.894189450832,2.47060818078667,45.0,0.0,85.7431902977762,20.773778081068,65.3529813637227,3.82354179047034,23.1504496522931,6.76722820291932,0.802409494476513,,,200.109,11.563,,754.206,21.57,,,,,,,,,,,,
Aveiro,Florestal,2022,0.0709,0.0,0.0,0.0709,0,0,0,1,0,0,2022010011777,1,08-02-2022,13:08,Av. da Igreja (Serralva),Santa Maria da Feira,Vale,Populares,10930,174879,448145,8,2,13,2195356,,,6.0,Desconhecida,08-02-2022 13:08:00,08-02-2022 14:32:00,84,0.0709,08-02-2022,14:32,08-02-2022,13:24,0,41.0020030000475,-8.43170500013563,Indeterminadas,15.6078,46.1365848373908,10.5962260235473,2.83540225111217,106.0,0.0,86.3084553696144,21.84375786755,56.3973240000001,4.46642401013308,22.1955842782548,7.6057800106551,0.986718699701076,,232.0,199.214,14.846,,306.109,16.98,72.115,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.005,0.0,0.005,1,0,0,1,0,0,2022010012224,1,09-02-2022,17:32,R FERREIRA DE CASTRO (Regato),Santa Maria da Feira,Fiães,112,10907,166550,446799,9,2,17,2010346,,,711.0,Reacendimento,09-02-2022 17:32:00,09-02-2022 18:11:00,39,0.005,09-02-2022,18:11,09-02-2022,17:45,0,40.9895879999797,-8.53062699953715,Reacendimentos,15.9206,61.9123354113324,4.9438962004062,1.60353640260004,275.0,0.0,86.2699705196496,22.9036459167965,70.3110653637228,3.67978868665433,25.2469619962563,6.88134293669931,0.826514488802873,,,195.025,6.8545,,839.908,16.84,,,,,,,,,,,,
Aveiro,Florestal,2022,0.093,0.0,0.0,0.093,0,0,0,1,0,0,2022010012234,1,09-02-2022,18:02,Imediações Rua Vale das Ratinhas - Póvoa do Paço,Aveiro,Esgueira,112,10505,157437,411339,9,2,18,1985053,,,610.0,Desconhecida,09-02-2022 18:02:00,09-02-2022 18:46:00,44,0.093,09-02-2022,18:46,09-02-2022,18:13,0,40.67,-8.63638888888889,Indeterminadas,16.3776,57.5433305910476,3.80598760821071,1.05721878005853,293.0,0.0,87.6084686662698,26.982314214654,112.616863676701,4.28816055820465,33.7493074586095,9.35329811804783,1.4229071414413,,232.0,-7.08938,2.27081,,526.909,13.26,374.933,,,,,,,,,,,
Aveiro,Florestal,2022,0.0,0.0162,0.0,0.0162,0,0,0,1,0,0,2022010012785,1,11-02-2022,13:25,Rua do Ribeiro (LOBÃO),Santa Maria da Feira,Lobão,CCO,10911,169900,446099,11,2,13,2040889,,,6.0,Desconhecida,11-02-2022 13:25:00,11-02-2022 14:28:00,63,0.0162,11-02-2022,14:28,11-02-2022,13:40,0,40.9834190000014,-8.49079400009579,Indeterminadas,14.7133,78.3378049203896,6.12165893640134,1.89036943474637,296.0,0.0003486235,83.9768087396548,24.1535727073368,74.9929753637228,2.10628048874943,26.7600777911134,4.09734406783212,0.330140050500341,,232.0,167.006,8.61132,,680.584,17.53,31.1207,,,,,,,,,,,
