index,index.1,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2231,2231,40.878735,-7.5533447,891.0,2019-05-25 00:00:00,12.7,53,3.5,8.2,0.0,0.0,0.0,0.0,0,1020.1,918.0,0,0,0,0,0.08,0.69,20.4,35.8,46,50,40.0,13.8,15.4,12.6,10.1,0.205,0.242,0.293,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2230,2230,40.878735,-7.5533447,891.0,2019-05-25 01:00:00,11.6,57,3.4,7.1,0.0,0.0,0.0,0.0,0,1020.6,918.1,0,0,0,0,0.07,0.58,20.2,34.6,49,52,43.6,13.4,15.2,12.6,10.1,0.205,0.242,0.293,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2229,2229,40.878735,-7.5533447,891.0,2019-05-25 02:00:00,10.6,63,3.9,6.4,0.0,0.0,0.0,0.0,0,1020.6,917.8,0,0,0,0,0.05,0.47,18.8,33.3,47,51,41.4,13.0,15.1,12.6,10.1,0.205,0.242,0.293,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2228,2228,40.878735,-7.5533447,891.0,2019-05-25 03:00:00,9.8,68,4.2,5.9,0.0,0.0,0.0,0.0,1,1020.7,917.6,29,0,0,97,0.04,0.39,17.3,30.9,45,50,39.2,12.6,14.9,12.6,10.1,0.205,0.242,0.293,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2227,2227,40.878735,-7.5533447,891.0,2019-05-25 04:00:00,9.2,72,4.4,5.4,0.0,0.0,0.0,0.0,1,1021.1,917.7,28,0,0,92,0.03,0.33,16.8,30.3,43,47,36.0,12.1,14.7,12.6,10.1,0.205,0.242,0.293,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2226,2226,40.878735,-7.5533447,891.0,2019-05-25 05:00:00,8.7,74,4.4,5.0,0.0,0.0,0.0,0.0,1,1021.6,918.0,23,0,0,78,0.03,0.29,16.3,29.3,43,48,35.3,11.7,14.5,12.7,10.1,0.205,0.242,0.293,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2225,2225,40.878735,-7.5533447,891.0,2019-05-25 06:00:00,9.2,74,4.8,5.3,0.0,0.0,0.0,0.0,0,1022.2,918.7,19,0,0,64,0.04,0.3,18.1,30.7,46,51,37.4,11.5,14.3,12.7,10.1,0.205,0.242,0.293,0.33,1,725.1,33.0,13.0,20.0,116.9,33.0,89.2,74.0,29.1,44.8,194.3,44.5,200.0,,,,,,
2224,2224,40.878735,-7.5533447,891.0,2019-05-25 07:00:00,10.6,70,5.3,6.6,0.0,0.0,0.0,0.0,1,1022.4,919.4,21,0,0,71,0.1,0.39,19.6,28.2,49,51,41.8,12.0,14.1,12.7,10.1,0.205,0.242,0.293,0.33,1,3600.0,178.0,112.0,66.0,462.3,178.0,323.1,245.7,154.6,91.1,462.3,245.7,446.0,,,,,,
2223,2223,40.878735,-7.5533447,891.0,2019-05-25 08:00:00,12.2,62,5.2,8.1,0.0,0.0,0.0,0.0,1,1022.0,919.6,20,0,0,68,0.19,0.54,20.2,28.3,51,53,43.9,12.9,14.0,12.7,10.1,0.205,0.242,0.293,0.33,1,3600.0,365.0,268.0,97.0,631.6,365.0,565.9,440.4,323.4,117.0,631.6,440.4,682.8,,,,,,
2222,2222,40.878735,-7.5533447,891.0,2019-05-25 09:00:00,14.0,54,4.7,9.8,0.0,0.0,0.0,0.0,0,1021.7,919.9,14,0,0,48,0.29,0.74,20.3,27.6,53,54,45.0,14.1,14.0,12.7,10.1,0.204,0.242,0.293,0.33,1,3600.0,552.0,432.0,120.0,728.1,552.0,791.4,623.8,488.2,135.6,728.1,623.8,894.3,,,,,,
