index,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2231,41.01933,-8.08844,715.0,2022-03-15 00:00:00,4.1,93,3.0,1.1,0.0,0.0,0.0,0.0,0,1011.1,926.5,5,1,0,13,0.0,0.06,9.4,17.2,113,106,40.3,5.4,6.4,7.4,8.5,0.406,0.402,0.371,0.354,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2230,41.01933,-8.08844,715.0,2022-03-15 01:00:00,3.3,92,2.2,0.4,0.0,0.0,0.0,0.0,1,1011.3,926.5,34,0,10,94,0.0,0.06,7.6,16.7,109,104,37.8,4.6,6.3,7.4,8.5,0.405,0.402,0.371,0.354,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2229,41.01933,-8.08844,715.0,2022-03-15 02:00:00,3.8,92,2.6,1.2,0.0,0.0,0.0,0.0,1,1011.6,926.9,47,0,29,99,0.0,0.07,6.6,17.5,112,99,33.8,4.3,6.2,7.4,8.5,0.404,0.402,0.371,0.355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2228,41.01933,-8.08844,715.0,2022-03-15 03:00:00,3.7,92,2.4,0.8,0.0,0.0,0.0,0.0,2,1011.4,926.7,62,0,53,99,0.0,0.07,7.6,16.1,115,106,35.6,4.1,6.1,7.4,8.5,0.403,0.401,0.371,0.355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2227,41.01933,-8.08844,715.0,2022-03-15 04:00:00,3.3,92,2.1,0.5,0.0,0.0,0.0,0.0,0,1010.9,926.1,4,0,4,5,0.0,0.06,6.8,13.0,108,93,33.8,3.7,5.9,7.4,8.5,0.402,0.401,0.371,0.355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2226,41.01933,-8.08844,715.0,2022-03-15 05:00:00,2.5,92,1.3,-0.5,0.0,0.0,0.0,0.0,0,1011.1,926.0,18,0,11,38,0.0,0.06,7.8,13.3,112,93,29.5,3.3,5.8,7.4,8.5,0.401,0.401,0.371,0.355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2225,41.01933,-8.08844,715.0,2022-03-15 06:00:00,3.7,90,2.2,1.1,0.0,0.0,0.0,0.0,0,1011.6,926.9,12,0,18,4,0.0,0.08,5.7,13.0,108,90,27.7,3.1,5.6,7.3,8.5,0.4,0.401,0.372,0.355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2224,41.01933,-8.08844,715.0,2022-03-15 07:00:00,4.0,91,2.6,1.6,0.0,0.0,0.0,0.0,3,1011.6,926.9,100,96,77,64,0.01,0.08,5.2,12.2,102,88,24.8,3.0,5.5,7.3,8.5,0.4,0.4,0.372,0.355,1,0.0,1.0,0.0,1.0,0.0,1.0,15.7,3.3,0.0,3.3,0.0,0.7,51.6,,,,,,
2223,41.01933,-8.08844,715.0,2022-03-15 08:00:00,6.8,89,5.1,4.4,0.0,0.0,0.0,0.0,0,1012.0,928.1,17,14,3,8,0.02,0.11,8.4,14.2,97,83,26.6,4.1,5.4,7.3,8.5,0.399,0.4,0.372,0.355,1,0.0,36.0,8.0,28.0,52.7,36.0,186.3,61.5,13.7,47.8,59.4,54.5,318.1,,,,,,
2222,41.01933,-8.08844,715.0,2022-03-15 09:00:00,10.1,82,7.2,8.2,0.0,0.0,0.0,0.0,0,1012.6,929.6,1,1,0,0,0.11,0.22,8.3,16.6,85,88,32.4,6.1,5.4,7.3,8.5,0.399,0.4,0.372,0.355,1,3600.0,267.0,188.0,79.0,588.2,267.0,442.3,338.5,238.3,100.2,588.2,338.5,560.8,,,,,,
