index,index.1,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
2231,2231,40.808434,-8.053986,486.0,2009-06-10 00:00:00,13.0,95,12.2,12.2,0.0,0.0,0.0,0.0,3,1019.4,962.2,100,100,5,98,0.0,0.08,10.7,18.3,194,200,26.6,13.9,15.0,15.4,12.2,0.342,0.323,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2230,2230,40.808434,-8.053986,486.0,2009-06-10 01:00:00,12.5,95,11.7,11.4,0.1,0.1,0.0,0.0,51,1019.1,961.9,100,100,3,52,0.0,0.07,11.1,18.9,193,198,25.9,13.8,14.9,15.4,12.2,0.342,0.323,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2229,2229,40.808434,-8.053986,486.0,2009-06-10 02:00:00,12.3,96,11.7,11.4,0.0,0.0,0.0,0.0,3,1018.8,961.5,91,99,3,0,0.0,0.06,10.4,18.6,194,198,25.6,13.6,14.8,15.4,12.2,0.342,0.323,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2228,2228,40.808434,-8.053986,486.0,2009-06-10 03:00:00,12.3,97,11.8,11.3,0.1,0.1,0.0,0.0,51,1018.6,961.4,93,100,1,8,0.0,0.05,10.8,18.8,195,200,24.5,13.6,14.8,15.3,12.2,0.342,0.323,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2227,2227,40.808434,-8.053986,486.0,2009-06-10 04:00:00,12.3,97,11.9,11.3,0.1,0.1,0.0,0.0,51,1018.9,961.6,94,100,0,12,0.0,0.04,10.9,18.1,197,201,23.8,13.5,14.7,15.3,12.2,0.342,0.323,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2226,2226,40.808434,-8.053986,486.0,2009-06-10 05:00:00,12.2,98,12.0,11.2,0.1,0.1,0.0,0.0,51,1018.9,961.6,94,100,6,1,0.0,0.02,11.3,18.6,197,198,24.1,13.4,14.6,15.3,12.2,0.342,0.323,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2225,2225,40.808434,-8.053986,486.0,2009-06-10 06:00:00,12.5,98,12.2,11.4,0.0,0.0,0.0,0.0,3,1019.5,962.2,90,95,8,0,0.01,0.03,12.3,19.1,201,200,25.6,13.6,14.6,15.3,12.2,0.342,0.323,0.279,0.356,1,0.0,16.0,4.0,12.0,34.5,16.0,94.9,35.7,8.9,26.8,56.0,22.0,211.8,,,,,,
2224,2224,40.808434,-8.053986,486.0,2009-06-10 07:00:00,13.5,96,12.8,12.5,0.2,0.2,0.0,0.0,51,1019.8,962.7,92,92,16,0,0.03,0.07,13.5,21.3,205,206,32.8,14.0,14.5,15.3,12.2,0.343,0.323,0.279,0.356,1,0.0,54.0,4.0,50.0,16.0,54.0,332.4,73.6,5.5,68.2,16.0,73.6,453.1,,,,,,
2223,2223,40.808434,-8.053986,486.0,2009-06-10 08:00:00,14.5,89,12.7,13.2,0.1,0.1,0.0,0.0,51,1020.2,963.3,95,100,9,0,0.09,0.18,14.8,22.4,209,210,34.2,14.5,14.6,15.3,12.2,0.344,0.323,0.279,0.356,1,1684.65,160.0,50.0,110.0,116.2,160.0,571.3,192.3,60.1,132.2,116.2,192.3,686.7,,,,,,
2222,2222,40.808434,-8.053986,486.0,2009-06-10 09:00:00,15.1,86,12.8,13.7,0.0,0.0,0.0,0.0,3,1020.4,963.6,100,100,19,0,0.11,0.24,15.9,22.4,213,213,36.0,15.0,14.6,15.3,12.2,0.343,0.323,0.279,0.356,1,505.78,199.0,46.0,153.0,76.9,199.0,794.2,224.6,51.9,172.7,76.9,224.6,896.6,,,,,,
2221,2221,40.808434,-8.053986,486.0,2009-06-10 10:00:00,16.1,82,13.0,14.6,0.1,0.1,0.0,0.0,51,1021.0,964.3,100,100,23,0,0.17,0.33,16.5,22.9,216,217,37.8,15.8,14.7,15.3,12.2,0.343,0.323,0.279,0.356,1,1792.75,306.0,89.0,217.0,119.8,306.0,986.2,331.5,96.4,235.1,119.8,331.5,1068.5,,,,,,
2220,2220,40.808434,-8.053986,486.0,2009-06-10 11:00:00,17.2,77,13.1,15.8,0.0,0.0,0.0,0.0,3,1021.4,964.9,97,100,12,0,0.23,0.45,16.4,23.1,218,217,38.9,16.7,14.8,15.3,12.2,0.343,0.323,0.279,0.356,1,1991.19,393.0,108.0,285.0,126.4,393.0,1134.1,412.6,113.4,299.2,126.4,412.6,1190.7,,,,,,
2219,2219,40.808434,-8.053986,486.0,2009-06-10 12:00:00,18.2,72,13.1,16.7,0.0,0.0,0.0,0.0,3,1021.6,965.3,100,100,16,0,0.28,0.58,17.1,23.6,219,219,40.7,17.6,15.0,15.2,12.2,0.341,0.323,0.279,0.356,1,3600.0,484.0,169.0,315.0,182.7,484.0,1227.8,494.6,172.7,321.9,182.7,494.6,1254.8,,,,,,
2218,2218,40.808434,-8.053986,486.0,2009-06-10 13:00:00,19.0,68,13.0,17.4,0.0,0.0,0.0,0.0,3,1021.6,965.5,100,100,30,0,0.32,0.71,17.8,25.0,223,224,41.8,18.5,15.2,15.2,12.2,0.338,0.323,0.279,0.356,1,3600.0,529.0,172.0,357.0,181.0,529.0,1261.0,527.2,171.4,355.8,181.0,527.2,1256.7,,,,,,
2217,2217,40.808434,-8.053986,486.0,2009-06-10 14:00:00,19.8,64,12.9,18.5,0.0,0.0,0.0,0.0,3,1022.0,966.0,100,98,31,0,0.38,0.83,17.8,25.0,228,229,42.5,19.4,15.5,15.2,12.2,0.335,0.322,0.279,0.356,1,3600.0,629.0,328.0,301.0,353.5,629.0,1231.4,610.9,318.6,292.3,353.5,610.9,1196.0,,,,,,
2216,2216,40.808434,-8.053986,486.0,2009-06-10 15:00:00,20.3,62,12.9,19.5,0.0,0.0,0.0,0.0,3,1021.8,965.9,82,80,16,0,0.41,0.9,16.7,22.9,233,233,42.8,20.1,15.8,15.2,12.3,0.332,0.322,0.279,0.356,1,3600.0,691.0,454.0,237.0,528.0,691.0,1141.1,652.2,428.5,223.7,528.0,652.2,1077.0,,,,,,
2215,2215,40.808434,-8.053986,486.0,2009-06-10 16:00:00,20.1,64,13.0,19.2,0.0,0.0,0.0,0.0,2,1021.8,965.9,57,62,2,0,0.37,0.86,15.2,20.4,239,238,41.4,20.3,16.1,15.2,12.3,0.329,0.321,0.279,0.356,1,3600.0,611.0,437.0,174.0,582.2,611.0,996.1,556.8,398.2,158.6,582.2,556.8,907.7,,,,,,
2214,2214,40.808434,-8.053986,486.0,2009-06-10 17:00:00,19.8,67,13.4,18.8,0.0,0.0,0.0,0.0,2,1021.6,965.6,57,63,0,0,0.32,0.77,14.0,18.8,241,241,38.9,20.3,16.3,15.2,12.3,0.327,0.321,0.279,0.356,1,3600.0,548.0,425.0,123.0,699.3,548.0,806.4,475.5,368.8,106.7,699.3,475.5,699.7,,,,,,
2213,2213,40.808434,-8.053986,486.0,2009-06-10 18:00:00,18.9,71,13.5,18.3,0.0,0.0,0.0,0.0,1,1021.7,965.5,36,40,0,0,0.22,0.63,12.1,16.4,243,244,35.6,19.7,16.5,15.2,12.3,0.325,0.321,0.279,0.356,1,3600.0,373.0,290.0,83.0,657.9,373.0,584.9,298.0,231.7,66.3,657.9,298.0,467.2,,,,,,
2212,2212,40.808434,-8.053986,486.0,2009-06-10 19:00:00,17.6,77,13.4,17.4,0.0,0.0,0.0,0.0,1,1021.8,965.4,33,37,0,0,0.1,0.47,9.2,13.9,244,245,28.4,18.7,16.6,15.2,12.3,0.324,0.32,0.279,0.356,1,3600.0,161.0,88.0,73.0,336.8,161.0,346.7,105.0,57.4,47.6,336.8,105.0,226.1,,,,,,
2211,2211,40.808434,-8.053986,486.0,2009-06-10 20:00:00,16.4,83,13.5,16.6,0.0,0.0,0.0,0.0,0,1021.9,965.2,15,17,0,0,0.02,0.31,6.1,11.4,242,246,23.0,17.5,16.7,15.2,12.3,0.324,0.32,0.279,0.356,1,1315.12,38.0,17.0,21.0,140.1,38.0,108.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2210,2210,40.808434,-8.053986,486.0,2009-06-10 21:00:00,15.4,89,13.6,15.7,0.0,0.0,0.0,0.0,1,1022.6,965.7,29,32,0,0,0.0,0.19,6.2,8.5,234,242,13.3,16.5,16.6,15.2,12.3,0.324,0.32,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2209,2209,40.808434,-8.053986,486.0,2009-06-10 22:00:00,14.7,94,13.8,15.4,0.0,0.0,0.0,0.0,1,1023.2,966.2,32,35,0,0,0.0,0.09,4.1,6.6,218,225,11.9,15.9,16.6,15.2,12.3,0.324,0.32,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2208,2208,40.808434,-8.053986,486.0,2009-06-10 23:00:00,14.4,96,13.8,15.1,0.0,0.0,0.0,0.0,1,1023.4,966.3,37,41,0,0,0.0,0.06,3.6,5.9,217,223,10.4,15.5,16.5,15.2,12.3,0.324,0.32,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2207,2207,40.808434,-8.053986,486.0,2009-06-11 00:00:00,14.6,95,13.8,15.6,0.0,0.0,0.0,0.0,1,1023.4,966.3,38,42,0,0,0.0,0.08,1.3,4.3,236,228,8.6,15.2,16.4,15.2,12.3,0.324,0.32,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2206,2206,40.808434,-8.053986,486.0,2009-06-11 01:00:00,13.9,97,13.4,14.9,0.0,0.0,0.0,0.0,1,1023.2,966.0,40,44,0,0,0.0,0.05,0.4,2.6,180,236,7.6,14.6,16.2,15.2,12.3,0.324,0.32,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2205,2205,40.808434,-8.053986,486.0,2009-06-11 02:00:00,13.6,98,13.3,14.5,0.0,0.0,0.0,0.0,2,1022.9,965.7,57,63,0,0,0.0,0.03,1.5,1.1,76,270,7.9,14.4,16.1,15.2,12.3,0.323,0.32,0.279,0.356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
