index,index,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
2231,2231,40.45694,-6.981659,768.0,2010-03-26T00:00,3.2,94,2.3,-0.3,0.0,0.0,0.0,0.0,1,1016.8,925.5,34,38,0,0,0.0,0.05,12.2,23.4,214,223,31.0,5.8,8.2,8.6,8.3,0.419,0.422,0.396,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,2230,40.45694,-6.981659,768.0,2010-03-26T01:00,3.3,94,2.5,-0.2,0.0,0.0,0.0,0.0,2,1017.1,925.8,59,58,11,0,0.0,0.05,12.6,23.8,207,215,31.7,5.7,8.0,8.6,8.3,0.418,0.421,0.397,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,2229,40.45694,-6.981659,768.0,2010-03-26T02:00,3.5,93,2.5,-0.2,0.0,0.0,0.0,0.0,2,1017.2,926.0,65,67,8,0,0.0,0.05,13.7,23.7,203,210,32.4,5.7,7.8,8.6,8.3,0.417,0.42,0.397,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,2228,40.45694,-6.981659,768.0,2010-03-26T03:00,3.6,93,2.5,-0.1,0.0,0.0,0.0,0.0,2,1017.2,926.0,72,73,11,0,0.0,0.06,13.9,24.5,201,208,32.8,5.6,7.7,8.6,8.3,0.416,0.419,0.397,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,2227,40.45694,-6.981659,768.0,2010-03-26T04:00,3.8,92,2.6,0.1,0.0,0.0,0.0,0.0,2,1017.8,926.6,71,64,23,0,0.0,0.07,13.7,23.5,198,205,32.8,5.6,7.6,8.6,8.3,0.415,0.418,0.397,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2226,2226,40.45694,-6.981659,768.0,2010-03-26T05:00,3.7,93,2.7,-0.1,0.0,0.0,0.0,0.0,2,1018.1,926.8,75,67,24,0,0.0,0.05,14.3,24.5,198,202,32.4,5.5,7.5,8.6,8.3,0.414,0.418,0.397,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2225,2225,40.45694,-6.981659,768.0,2010-03-26T06:00,3.7,93,2.6,-0.1,0.0,0.0,0.0,0.0,3,1018.8,927.5,82,74,26,0,0.0,0.06,15.2,25.4,194,198,31.0,5.5,7.3,8.5,8.3,0.414,0.417,0.398,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,2224,40.45694,-6.981659,768.0,2010-03-26T07:00,3.9,92,2.7,-0.1,0.0,0.0,0.0,0.0,3,1019.5,928.2,84,78,23,0,0.02,0.07,15.9,26.1,193,198,34.6,5.5,7.2,8.5,8.3,0.413,0.416,0.398,0.33,1,0.0,10.0,3.0,7.0,32.5,10.0,67.1,23.0,6.9,16.1,61.5,12.1,154.1
2223,2223,40.45694,-6.981659,768.0,2010-03-26T08:00,4.5,89,2.8,0.1,0.0,0.0,0.0,0.0,3,1019.8,928.6,91,84,26,0,0.03,0.09,18.6,28.2,195,197,38.5,5.8,7.2,8.5,8.3,0.413,0.416,0.398,0.33,1,1492.71,78.0,23.0,55.0,109.8,78.0,288.3,113.4,33.4,80.0,109.8,113.4,419.2
2222,2222,40.45694,-6.981659,768.0,2010-03-26T09:00,5.2,88,3.4,0.7,0.0,0.0,0.0,0.0,3,1020.4,929.4,100,89,33,0,0.06,0.11,20.9,30.9,199,201,43.6,6.3,7.1,8.5,8.3,0.413,0.415,0.398,0.33,1,2846.97,150.0,61.0,89.0,154.9,150.0,541.7,182.2,74.1,108.1,154.9,182.2,658.1
