index,index,latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant
2231,2231,40.175747,-7.8260803,997.0,2022-03-15T00:00,4.6,93,3.5,1.4,0.0,0.0,0.0,0.0,1,1011.0,895.6,50,8,21,100,0.0,0.06,11.3,25.8,107,102,40.0,4.8,5.2,6.2,7.6,0.408,0.4,0.336,0.308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,2230,40.175747,-7.8260803,997.0,2022-03-15T01:00,4.5,92,3.3,1.6,0.0,0.0,0.0,0.0,3,1010.7,895.3,88,1,95,100,0.0,0.07,9.3,24.1,103,99,32.0,4.5,5.2,6.2,7.6,0.406,0.4,0.336,0.308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,2229,40.175747,-7.8260803,997.0,2022-03-15T02:00,4.4,88,2.6,1.3,0.0,0.0,0.0,0.0,3,1011.1,895.6,88,0,96,100,0.0,0.1,10.0,25.8,103,97,32.4,4.1,5.2,6.2,7.6,0.405,0.4,0.336,0.308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,2228,40.175747,-7.8260803,997.0,2022-03-15T03:00,3.4,87,1.5,0.5,0.0,0.0,0.0,0.0,3,1010.0,894.2,86,0,94,100,0.0,0.1,7.1,19.3,75,81,31.3,3.8,5.1,6.2,7.6,0.403,0.399,0.337,0.308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,2227,40.175747,-7.8260803,997.0,2022-03-15T04:00,4.1,83,1.4,1.2,0.0,0.0,0.0,0.0,1,1009.7,894.2,38,1,16,91,0.0,0.14,6.6,20.1,77,80,23.4,3.6,5.0,6.2,7.6,0.402,0.399,0.337,0.308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2226,2226,40.175747,-7.8260803,997.0,2022-03-15T05:00,3.3,83,0.7,0.1,0.0,0.0,0.0,0.0,2,1009.4,893.7,65,10,50,87,0.0,0.13,8.4,17.3,43,67,25.6,3.2,4.9,6.1,7.6,0.401,0.399,0.337,0.308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2225,2225,40.175747,-7.8260803,997.0,2022-03-15T06:00,4.2,82,1.3,1.4,0.0,0.0,0.0,0.0,3,1009.7,894.3,86,39,36,97,0.0,0.15,6.3,14.8,13,43,24.8,3.1,4.8,6.1,7.6,0.4,0.398,0.337,0.308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,2224,40.175747,-7.8260803,997.0,2022-03-15T07:00,4.3,84,1.8,1.5,0.0,0.0,0.0,0.0,1,1010.0,894.6,24,9,2,50,0.02,0.13,6.5,12.0,357,44,22.3,3.2,4.7,6.1,7.6,0.4,0.398,0.337,0.308,1,0.0,1.0,0.0,1.0,0.0,1.0,19.0,3.1,0.0,3.1,0.0,0.7,58.0
2223,2223,40.175747,-7.8260803,997.0,2022-03-15T08:00,7.3,72,2.7,5.0,0.0,0.0,0.0,0.0,1,1010.6,896.3,25,0,2,80,0.03,0.28,4.7,12.7,23,65,22.3,3.9,4.7,6.1,7.6,0.399,0.397,0.338,0.308,1,3047.45,91.0,49.0,42.0,315.2,91.0,194.3,153.5,82.6,70.8,349.0,138.6,327.7
2222,2222,40.175747,-7.8260803,997.0,2022-03-15T09:00,9.9,76,5.9,7.8,0.0,0.0,0.0,0.0,0,1010.9,897.5,16,0,0,53,0.12,0.29,7.0,19.6,55,77,28.8,5.8,4.7,6.1,7.6,0.398,0.397,0.338,0.308,1,3600.0,285.0,216.0,69.0,659.6,285.0,453.2,360.2,273.0,87.2,659.6,360.2,572.9
