year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation
2010,2010-04-12,Porto,Gondomar,Jovim,Tronco,41.107689,-8.5090324,NC,158.0,2010-04-12T19:00,16.7,51,6.5,14.7,0.0,0.0,0.0,0.0,2,1005.1,986.6,55,0,54,74,0.07,0.93,7.4,18.6,67,75,19.1,16.1,14.9,12.3,11.0,0.324,0.343,0.385,0.413,1,2338.68,9.3,3.9,5.4,45.1,7.6,25.9,57.0,24.0,33.0,167.6,57.0,158.4
2010,2010-05-01,Porto,Marco de Canaveses,Soalhães,LUG DE REGUENGOS (SOALHÃES),41.180369,-8.06996,NC,699.0,2010-05-01T18:00,13.9,75,9.5,12.1,0.0,0.0,0.0,0.0,3,1014.6,934.2,98,69,33,52,0.12,0.41,11.3,17.2,292,296,33.5,16.4,14.6,12.6,8.9,0.305,0.333,0.372,0.406,1,3600.0,150.3,76.3,74.0,288.4,150.3,356.4,203.0,103.0,100.0,288.4,203.0,481.4
2010,2010-07-20,Lisboa,Loures,Unhos,AV FORÇAS ARMADAS FRENTE ESCOLA PRIMÁRIA - CATUJAL,38.8263302,-9.1238076,Desconhecida,65.0,2010-07-20T15:00,24.0,60,15.7,23.2,0.0,0.0,0.0,0.0,0,1015.7,1008.1,5,6,0,0,0.52,1.19,28.0,38.0,331,332,55.8,26.4,23.4,22.7,20.9,0.238,0.28,0.321,0.366,1,3600.0,812.0,695.6,116.4,845.3,812.0,1089.9,858.0,735.0,123.0,845.3,858.0,1151.6
2010,2010-04-12,Vila Real,Montalegre,Cabril,"S. Lourenço, P. N. P. Gerês (CABRIL)",41.71350495,-8.037136727519712,NC,268.0,2010-04-12T20:00,15.2,49,4.5,12.4,0.0,0.0,0.0,0.0,2,1006.2,974.8,79,0,84,95,0.08,0.88,10.1,19.2,96,103,21.6,14.5,14.4,11.7,10.2,0.328,0.347,0.385,0.42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
2010,2010-05-02,Braga,Guimarães,Abação (são Tomé),CABEÇO (ABAÇÃO) (Cabeço),41.411135,-8.26772784021524,Desconhecida,440.0,2010-05-02T15:00,17.6,47,6.0,16.0,0.0,0.0,0.0,0.0,0,1014.4,963.5,14,15,0,0,0.45,1.08,13.8,18.3,321,324,36.0,19.8,14.7,13.1,9.7,0.278,0.313,0.353,0.404,1,3600.0,744.5,603.1,141.4,805.1,744.5,1009.1,795.0,644.0,151.0,805.1,795.0,1077.6
2010,2010-05-02,Porto,Vila Nova de Gaia,Canelas,RUA MINA (Rua Guilhermina Suggia),41.0805427,-8.6006594,NC,126.0,2010-05-02T16:00,16.7,61,9.0,13.3,0.0,0.0,0.0,0.0,0,1015.5,1000.5,0,0,0,0,0.35,0.75,25.7,34.7,329,331,46.8,19.4,16.4,15.1,12.3,0.317,0.337,0.371,0.405,1,3600.0,623.2,517.1,106.1,832.4,623.2,836.9,693.0,575.0,118.0,832.4,693.0,930.6
2010,2010-07-20,Porto,Vila Nova de Gaia,Vilar de Andorinho,R. CATAZENA (VILAR DE ANDORINHO),41.097637950000006,-8.568625067986972,NC,100.0,2010-07-20T16:00,23.2,64,15.9,22.6,0.0,0.0,0.0,0.0,2,1015.3,1003.7,61,63,0,13,0.39,1.04,19.7,25.5,310,310,38.9,28.2,23.5,21.3,17.4,0.125,0.163,0.249,0.362,1,3600.0,551.8,371.8,180.0,541.6,551.8,909.3,604.0,407.0,197.0,541.6,604.0,995.4
2010,2010-06-23,Setúbal,Sesimbra,Quinta do Conde,Rua Marques de Pombal,38.5512344,-9.0530777,Desconhecida,58.0,2010-06-23T21:00,18.1,81,14.8,16.6,0.0,0.0,0.0,0.0,0,1014.9,1008.0,0,0,0,0,0.03,0.39,20.6,31.3,333,336,34.9,21.3,23.2,19.9,17.4,0.058,0.096,0.147,0.241,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2010-06-20,Porto,Baião,Campelo,Freixieiro,41.16536145,-8.037270901747142,NC,613.0,2010-06-20T15:00,22.5,43,9.2,22.6,0.0,0.0,0.0,0.0,0,1014.7,945.7,0,0,0,0,0.55,1.56,9.3,12.2,54,56,29.9,24.0,17.5,14.7,11.9,0.256,0.286,0.304,0.378,1,3600.0,803.4,673.9,129.5,825.8,803.4,1080.8,850.0,713.0,137.0,825.8,850.0,1143.6
2010,2010-07-19,Aveiro,Espinho,Anta,A29 (GUETIM),41.004343000000006,-8.6180921214257,Desconhecida,39.0,2010-07-19T15:00,27.2,54,17.1,27.0,0.0,0.0,0.0,0.0,0,1018.8,1014.3,0,0,0,0,0.6,1.65,28.3,37.0,326,329,47.9,34.0,25.1,22.0,18.0,0.095,0.133,0.207,0.33,1,3600.0,816.9,711.8,105.1,876.7,816.9,1075.2,863.0,752.0,111.0,876.7,863.0,1135.9
2010,2010-05-05,Porto,Penafiel,Valpedre,MESAO FRIO (Mesão Frio),41.1346994,-8.3081701,NC,248.0,2010-05-05T02:00,5.2,71,0.5,1.8,0.0,0.0,0.0,0.0,0,1019.2,988.7,0,0,0,0,0.01,0.25,9.0,18.1,53,55,22.0,8.5,12.9,13.9,11.2,0.275,0.317,0.364,0.404,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2010-07-20,Porto,Vila Nova de Gaia,Canelas,R. PINHEIRO MANSO (Rua do Pinheiro Manso),41.0702729,-8.5915531,NC,189.0,2010-07-20T17:00,22.8,65,16.0,21.8,0.0,0.0,0.0,0.0,2,1015.2,993.3,79,82,0,18,0.33,0.95,20.6,27.0,313,314,43.9,28.1,23.8,21.0,16.9,0.11,0.157,0.242,0.356,1,3600.0,430.2,312.0,118.2,588.7,430.2,702.1,495.0,359.0,136.0,588.7,495.0,807.7
2010,2010-03-12,Porto,Marco de Canaveses,Soalhães,L.LARDOSA (Lardosa),41.1743902,-8.0886841,NC,288.0,2010-03-12T20:00,8.2,61,1.1,5.3,0.0,0.0,0.0,0.0,0,1022.6,987.6,4,5,0,0,0.02,0.43,6.6,11.5,279,311,16.9,6.7,7.7,8.2,9.6,0.365,0.379,0.398,0.422,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2010-06-05,Aveiro,Santa Maria da Feira,Romariz,Carvalhal (Rua do Espadanal),40.9623033,-8.4383638,NC,216.0,2010-06-05T20:00,16.1,84,13.4,14.8,0.0,0.0,0.0,0.0,3,1019.3,993.7,100,100,0,82,0.04,0.29,16.4,23.8,320,322,37.4,20.1,20.8,17.8,13.5,0.166,0.242,0.317,0.386,1,371.16,0.0,0.0,0.0,0.0,0.0,0.0,34.0,10.0,24.0,83.2,34.0,104.9
2010,2010-06-20,Lisboa,Amadora,Falagueira,RUA PRINCIPAL - QTA DA LAJE (Rua Principal),38.7632736,-9.2215285,Desconhecida,115.0,2010-06-20T23:00,16.0,87,13.8,13.8,0.0,0.0,0.0,0.0,0,1016.1,1002.4,0,0,0,0,0.02,0.24,23.7,35.3,330,333,41.4,17.8,19.9,18.6,16.5,0.159,0.222,0.282,0.348,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2010-07-31,Porto,Marco de Canaveses,Vila Boa de Quires,RIBEIRA DE CASTRO (Barca da Ribeira),41.2028475,-8.2047635,NC,275.0,2010-07-31T17:00,29.4,50,18.0,30.5,0.0,0.0,0.0,0.0,0,1012.7,981.8,0,0,0,0,0.42,2.03,12.2,15.5,272,274,33.5,34.4,27.5,22.2,17.0,0.102,0.154,0.241,0.349,1,3600.0,448.2,353.4,94.8,698.8,448.2,671.3,520.0,410.0,110.0,698.8,520.0,778.8
2010,2010-07-31,Porto,Marco de Canaveses,Vila Boa de Quires,Gaia,41.2028475,-8.2047635,NC,275.0,2010-07-31T15:00,31.4,45,18.0,34.1,0.0,0.0,0.0,0.0,0,1012.7,982.0,0,0,0,0,0.65,2.53,12.2,15.1,270,270,31.7,36.4,27.0,22.2,17.0,0.102,0.155,0.241,0.349,1,3600.0,785.4,684.4,101.0,866.4,785.4,1048.5,832.0,725.0,107.0,866.4,832.0,1110.7
2010,2010-07-31,Porto,Marco de Canaveses,Vila Boa de Quires,Vilarelho,41.2028475,-8.2047635,NC,275.0,2010-07-31T03:00,22.6,68,16.4,23.9,0.0,0.0,0.0,0.0,0,1011.9,980.4,0,0,0,0,0.02,0.87,6.0,7.3,163,189,10.8,22.0,26.4,22.1,17.0,0.103,0.156,0.242,0.349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
