ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,LAT,LON
2008,RO208190,Florestal,Lisboa,Sintra,São João das Lampas,Pero Leite,111110,91103,216642,2008-03-29,12:25:00,2008-03-29,14:12:00,2008-03-29,12:36:00,Populares,PT13020610,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.8815463,-9.405697273499548
2008,RO2082550,Florestal,Lisboa,Arruda dos Vinhos,Arruda dos Vinhos,LAPAO (ARRUDA DOS VINHOS),110202,118232,224561,2008-10-27,14:33:00,2008-10-27,16:42:00,2008-10-27,14:42:00,Populares,PT13010302,0.0,0.035,0.0,0.035,0.035,0,0,0,1,0,0,,,,,38.99119885,-9.062929029605822
2008,RO2082488,Florestal,Lisboa,Sintra,São João das Lampas,SAMARRA - PN SNT/CSC (Praia da Samarra),111110,87087,215379,2008-10-25,18:55:00,2008-10-25,23:55:00,,,Populares,PT13020610,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,,SINTRA-CASCAIS,,,38.8961297,-9.434950314661428
2008,RO2081902,Florestal,Lisboa,Alenquer,Ribafria,Ribafria,110116,116745,233191,2008-10-01,14:38:00,2008-10-01,16:44:00,2008-10-01,14:50:00,Populares,PT13010216,0.0,0.03,0.0,0.03,0.03,0,0,0,1,0,0,,,,,39.06415665,-9.08696556489279
2008,RO2082573,Florestal,Lisboa,Vila Franca de Xira,Calhandriz,MATO DA CRUZ CALHANDRIZ (Mato da Cruz),111404,117991,217224,2008-10-28,17:16:00,2008-10-28,19:12:00,2008-10-28,17:35:00,Populares,PT13020704,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,38.918931650000005,-9.067429370190313
2008,RO2082692,Florestal,Lisboa,Arruda dos Vinhos,Santiago dos Velhos,A-DOS-EIROS (A-dos-Arcos),110204,113225,223579,2008-11-16,13:38:00,2008-11-16,14:58:00,2008-11-16,13:55:00,Populares,PT13010304,0.0,1.5,0.0,1.5,1.5,0,0,0,0,1,0,,,,,38.936359,-9.10427912424307
2008,RO2082499,Florestal,Lisboa,Arruda dos Vinhos,Arranhó,Castelo,110201,114338,224941,2008-10-26,09:34:00,2008-10-26,10:33:00,2008-10-26,09:56:00,Outros,PT13010301,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,,,,,38.95337155,-9.134980363016528
2008,RO2082574,Florestal,Lisboa,Alenquer,Meca,CANADOS,110107,122819,236363,2008-10-28,18:23:00,2008-10-28,21:54:00,,,Populares,PT13010207,0.0,1.5,0.0,1.5,1.5,0,0,0,0,1,0,,,,,39.0712401,-9.0407762
2008,RO2082619,Florestal,Lisboa,Torres Vedras,Maxial,LOUBAGUEIRA (Lobagueira),111308,108756,240127,2008-11-02,23:35:00,2008-11-03,00:33:00,2008-11-02,23:47:00,Populares,PT13011308,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,39.1382229,-9.1777681
2008,RO2082516,Florestal,Lisboa,Alenquer,Alenquer (santo Estêvão),VILA NOVA (Vala Nova),110111,127610,231578,2008-10-26,14:55:00,2008-10-26,16:45:00,2008-10-26,15:15:00,Populares,PT13010211,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,39.0490112,-9.0145622
