latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
37.293495,-7.997345,486.0,2011-02-25 00:00:00,10.3,83,7.5,8.2,0.0,0.0,0.0,0.0,0,1026.3,968.2,0,0,0,0,0.01,0.22,10.4,17.9,358,19,14.4,10.5,13.3,11.7,13.4,0.317,0.348,0.348,0.269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
37.293495,-7.997345,486.0,2011-02-25 01:00:00,9.9,83,7.1,7.5,0.0,0.0,0.0,0.0,0,1026.4,968.2,0,0,0,0,0.01,0.21,10.9,17.7,6,24,14.8,10.1,13.0,11.8,13.4,0.318,0.348,0.348,0.269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
37.293495,-7.997345,486.0,2011-02-25 02:00:00,9.5,83,6.7,7.1,0.0,0.0,0.0,0.0,0,1025.8,967.6,0,0,0,0,0.01,0.2,10.7,17.4,14,30,14.8,9.7,12.8,11.8,13.4,0.318,0.348,0.348,0.269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
37.293495,-7.997345,486.0,2011-02-25 03:00:00,9.0,84,6.4,6.6,0.0,0.0,0.0,0.0,0,1025.7,967.4,0,0,0,0,0.0,0.19,10.5,17.5,16,32,14.4,9.3,12.5,11.8,13.4,0.319,0.348,0.348,0.269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
37.293495,-7.997345,486.0,2011-02-25 04:00:00,8.6,85,6.1,6.2,0.0,0.0,0.0,0.0,0,1025.6,967.2,0,0,0,0,0.0,0.17,9.9,16.6,10,30,13.7,8.9,12.3,11.8,13.4,0.319,0.347,0.348,0.269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
37.293495,-7.997345,486.0,2011-02-25 05:00:00,8.1,86,5.8,5.6,0.0,0.0,0.0,0.0,0,1025.9,967.4,0,0,0,0,0.0,0.15,9.8,16.5,17,32,12.6,8.6,12.0,11.8,13.4,0.319,0.347,0.348,0.269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
37.293495,-7.997345,486.0,2011-02-25 06:00:00,7.7,87,5.6,5.2,0.0,0.0,0.0,0.0,0,1025.9,967.3,0,0,0,0,0.0,0.14,9.4,16.1,23,34,12.2,8.2,11.7,11.8,13.4,0.32,0.347,0.348,0.269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
37.293495,-7.997345,486.0,2011-02-25 07:00:00,7.4,87,5.4,5.0,0.0,0.0,0.0,0.0,0,1026.1,967.5,0,0,0,0,0.0,0.13,8.9,15.3,21,34,12.2,7.9,11.5,11.8,13.4,0.32,0.347,0.348,0.269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
37.293495,-7.997345,486.0,2011-02-25 08:00:00,7.9,87,5.9,5.7,0.0,0.0,0.0,0.0,0,1026.3,967.7,0,0,0,0,0.01,0.14,8.0,14.3,18,34,11.5,8.2,11.3,11.8,13.4,0.32,0.347,0.348,0.269,1,1512.11,40.0,24.0,16.0,209.7,40.0,99.6,87.4,52.4,35.0,336.5,54.5,217.6,,,,,,
37.293495,-7.997345,486.0,2011-02-25 09:00:00,12.3,77,8.4,11.0,0.0,0.0,0.0,0.0,0,1026.8,969.1,0,0,0,0,0.09,0.33,5.9,13.4,11,31,13.0,10.9,11.3,11.8,13.4,0.321,0.347,0.348,0.269,1,3600.0,214.0,160.0,54.0,640.2,214.0,349.1,291.0,217.6,73.4,640.2,291.0,474.7,,,,,,
