latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
38.76977,-7.7353516,342.0,2022-02-14 00:00:00,9.5,97,9.1,7.7,0.0,0.0,0.0,0.0,3,1020.5,979.3,91,100,1,0,0.0,0.03,10.5,21.2,262,271,24.8,9.9,11.4,12.3,14.0,0.143,0.202,0.207,0.252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
38.76977,-7.7353516,342.0,2022-02-14 01:00:00,9.0,99,8.9,7.0,0.0,0.0,0.0,0.0,3,1021.0,979.8,92,100,3,0,0.0,0.01,12.0,22.6,291,295,21.2,9.7,11.3,12.3,14.0,0.143,0.202,0.207,0.252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
38.76977,-7.7353516,342.0,2022-02-14 02:00:00,8.8,99,8.6,6.7,0.1,0.1,0.0,0.0,51,1021.2,979.9,65,70,3,0,0.0,0.02,12.6,23.0,307,311,23.8,9.6,11.2,12.3,14.0,0.144,0.202,0.207,0.252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
38.76977,-7.7353516,342.0,2022-02-14 03:00:00,7.8,99,7.6,6.0,0.0,0.0,0.0,0.0,1,1021.3,979.9,24,27,0,0,0.0,0.01,8.2,18.6,311,316,23.0,9.2,11.2,12.3,14.0,0.144,0.202,0.207,0.252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
38.76977,-7.7353516,342.0,2022-02-14 04:00:00,6.4,100,6.4,4.6,0.0,0.0,0.0,0.0,0,1021.3,979.7,19,21,0,0,0.0,0.0,6.5,18.1,304,313,15.5,8.5,11.1,12.3,14.0,0.144,0.202,0.207,0.252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
38.76977,-7.7353516,342.0,2022-02-14 05:00:00,5.8,99,5.7,3.9,0.0,0.0,0.0,0.0,1,1021.5,979.8,25,28,0,0,0.0,0.01,6.0,18.1,303,311,12.2,7.9,10.9,12.3,14.0,0.144,0.202,0.207,0.252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
38.76977,-7.7353516,342.0,2022-02-14 06:00:00,5.6,98,5.3,3.6,0.0,0.0,0.0,0.0,0,1021.8,980.0,14,16,0,0,0.0,0.02,6.2,18.4,306,312,11.9,7.4,10.8,12.3,14.0,0.145,0.202,0.207,0.252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
38.76977,-7.7353516,342.0,2022-02-14 07:00:00,5.0,98,4.7,2.9,0.0,0.0,0.0,0.0,0,1022.4,980.5,8,9,0,0,0.0,0.02,6.0,17.6,303,313,11.9,6.9,10.6,12.3,14.0,0.145,0.202,0.207,0.252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
38.76977,-7.7353516,342.0,2022-02-14 08:00:00,5.7,96,5.1,3.6,0.0,0.0,0.0,0.0,0,1022.9,981.1,8,9,0,0,0.01,0.03,6.2,17.3,306,315,11.5,6.6,10.5,12.3,14.0,0.145,0.202,0.207,0.252,1,39.75,15.0,6.0,9.0,68.3,15.0,62.6,34.6,13.8,20.8,134.4,17.6,144.6,,,,,,
38.76977,-7.7353516,342.0,2022-02-14 09:00:00,7.9,90,6.3,5.9,0.0,0.0,0.0,0.0,0,1023.9,982.4,4,4,0,0,0.05,0.11,7.1,16.5,300,314,15.8,7.6,10.3,12.3,14.0,0.145,0.202,0.207,0.252,1,3600.0,150.0,97.0,53.0,499.8,150.0,272.3,217.3,140.5,76.8,499.8,217.3,394.4,,,,,,
