latitude,longitude,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,fwix,ffmc,dmc,dc,isi,bui
41.933216,-8.241272,1055.0,2009-06-08 00:00:00,8.3,95,7.6,5.0,0.5,0.5,0.0,0.0,53,1008.4,888.5,100,97,57,73,0.0,0.05,18.1,30.3,203,207,55.1,10.2,11.8,12.2,8.5,0.446,0.392,0.353,0.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
41.933216,-8.241272,1055.0,2009-06-08 01:00:00,8.1,95,7.4,4.5,0.4,0.4,0.0,0.0,51,1007.6,887.8,100,99,87,10,0.0,0.05,19.9,33.2,202,204,55.8,10.0,11.7,12.2,8.5,0.446,0.393,0.353,0.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
41.933216,-8.241272,1055.0,2009-06-08 02:00:00,8.0,94,7.1,4.4,0.6,0.6,0.0,0.0,53,1006.7,887.0,100,100,85,29,0.0,0.06,20.1,33.4,195,198,60.1,9.9,11.6,12.2,8.5,0.462,0.396,0.353,0.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
41.933216,-8.241272,1055.0,2009-06-08 03:00:00,7.8,96,7.2,4.4,2.5,2.5,0.0,0.0,63,1005.3,885.6,100,100,76,26,0.0,0.04,18.3,30.5,195,197,69.1,9.7,11.5,12.2,8.5,0.471,0.402,0.353,0.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
41.933216,-8.241272,1055.0,2009-06-08 04:00:00,7.5,98,7.3,4.3,4.6,4.6,0.0,0.0,63,1005.9,886.1,100,100,84,6,0.0,0.02,17.3,27.7,216,215,74.2,9.6,11.4,12.2,8.5,0.434,0.43,0.354,0.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
41.933216,-8.241272,1055.0,2009-06-08 05:00:00,7.3,99,7.1,3.8,3.4,3.4,0.0,0.0,63,1005.8,885.9,100,99,39,1,0.0,0.01,19.1,31.4,226,228,68.0,9.5,11.3,12.2,8.5,0.451,0.432,0.354,0.41,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
41.933216,-8.241272,1055.0,2009-06-08 06:00:00,7.7,99,7.5,4.1,2.5,2.5,0.0,0.0,63,1006.5,886.6,59,46,29,1,0.01,0.01,19.9,32.9,228,229,66.2,9.6,11.2,12.2,8.5,0.445,0.436,0.354,0.41,1,0.0,5.0,1.0,4.0,8.5,5.0,102.0,10.7,2.1,8.5,13.0,6.9,217.9,,,,,,
41.933216,-8.241272,1055.0,2009-06-08 07:00:00,8.2,89,6.5,4.3,0.8,0.8,0.0,0.0,53,1006.7,887.0,100,81,41,32,0.05,0.12,20.4,31.8,221,224,68.0,9.9,11.1,12.1,8.5,0.454,0.436,0.354,0.41,1,3600.0,129.0,56.0,73.0,220.8,129.0,336.7,174.5,75.8,98.8,220.8,174.5,455.5,,,,,,
41.933216,-8.241272,1055.0,2009-06-08 08:00:00,7.9,85,5.6,3.8,1.5,1.5,0.0,0.0,61,1007.0,887.2,100,98,60,25,0.08,0.16,20.4,33.1,222,225,68.0,10.0,11.1,12.1,8.5,0.471,0.439,0.354,0.41,1,568.26,181.0,34.0,147.0,78.9,181.0,571.8,217.0,40.8,176.2,78.9,217.0,685.6,,,,,,
41.933216,-8.241272,1055.0,2009-06-08 09:00:00,8.9,82,6.0,4.9,1.1,1.1,0.0,0.0,55,1007.8,888.3,100,93,54,12,0.11,0.2,20.6,36.7,224,227,72.4,10.5,11.0,12.1,8.5,0.427,0.454,0.355,0.41,1,2879.98,263.0,93.0,170.0,156.0,263.0,791.5,296.5,104.8,191.7,156.0,296.5,892.4,,,,,,
41.933216,-8.241272,1055.0,2009-06-08 10:00:00,9.1,84,6.5,5.1,1.4,1.4,0.0,0.0,61,1008.5,889.0,100,100,41,2,0.17,0.19,21.4,31.1,225,226,72.0,11.1,11.1,12.1,8.5,0.445,0.452,0.356,0.41,1,3600.0,440.0,268.0,172.0,362.8,440.0,980.7,476.4,290.2,186.2,362.8,476.4,1061.8,,,,,,
