year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames,tri,roughness,aspect,slope,CLC_CODE,altitude,mean_elev,fwix,ffmc,dmc,dc,isi,bui
2001,2001-07-31,Castelo Branco,Fundão,Pêro Viseu,Vales de Pero Viseu,40.2071956,-7.4443594,Natural,25.022,2001-07-31T19:00,28.9,49,17.0,30.9,0.0,0.0,0.0,0.0,0,1013.7,957.3,6,0,8,5,0.11,2.04,3.1,6.6,225,221,22.0,27.7,25.9,22.8,18.4,0.234,0.159,0.213,0.344,1,3600.0,87.0,58.6,28.4,468.5,87.0,165.9,153.0,103.0,50.0,468.5,153.0,291.9,Tracheophyta; Pinales; Pinus pinaster Aiton; Olea europaea L.; Magnoliopsida,9.0,220.2392578125,220.2392578125,4.326756000518799,242.0,25.022,25.022,0.7164342041597382,70.22881995037686,11.94621376378536,427.4765203774912,0.7367453476041458,22.33219463627741
2001,2001-08-25,Castelo Branco,Oleiros,Estreito,Raposeira,39.9535622,-7.8109906,Natural,25.022,2001-08-25T15:00,30.5,34,13.1,29.4,0.0,0.0,0.0,0.0,1,1013.3,940.6,34,0,12,89,0.57,2.86,17.4,23.7,167,167,51.5,33.9,26.0,22.0,18.8,0.122,0.151,0.187,0.32,1,3600.0,590.0,401.4,188.6,555.0,590.0,968.4,632.0,430.0,202.0,555.0,632.0,1037.5,Eucalyptus L'Hér.; Pinus pinaster Aiton; Magnoliopsida; Tracheophyta; Olea europaea L.; Pinus pinea L.; Vitis vinifera L.; Quercus suber L.; ,8.0,215.18087768554688,215.18087768554688,1.1725925207138062,242.0,25.022,25.022,53.43066182671682,93.1399700332773,187.249692068,846.3274482421875,16.081114517226986,241.12648136822745
2001,2001-08-13,Castelo Branco,Proença-a-Nova,São Pedro do Esteval,Vale Madeirinho,39.6506245,-7.8449709,Natural,25.022,2001-08-13T14:00,32.2,31,13.1,33.4,0.0,0.0,0.0,0.0,0,1012.2,985.2,4,0,0,13,0.7,3.29,10.7,13.0,220,219,32.0,37.6,28.8,25.3,20.9,0.12,0.153,0.191,0.332,1,3600.0,847.5,708.9,138.7,828.1,847.5,1140.7,874.0,731.0,143.0,828.1,874.0,1176.3,Magnoliopsida; Eucalyptus L'Hér.; Tracheophyta; Olea europaea L.; Pinus pinaster Aiton; Quercus rotundifolia Lam.; Vitis vinifera L.; Pinales; ,3.0,101.57633972167967,101.57633972167967,2.427921295166016,242.0,25.022,25.022,47.41478379213298,94.13264352522192,227.1265694851797,852.2835595703125,13.17264760628466,272.6233974966691
2001,2001-05-27,Castelo Branco,Sertã,Cernache do Bonjardim,CERNACHE,39.8127676,-8.186952558587361,Natural,29.874,2001-05-27T14:00,32.2,33,13.7,34.8,0.0,0.0,0.0,0.0,0,1019.4,975.6,6,0,0,20,0.72,3.24,6.6,8.2,151,151,20.2,30.4,21.5,16.0,12.8,0.186,0.266,0.28,0.383,1,3600.0,903.5,793.0,110.5,887.2,903.5,1191.0,932.0,818.0,114.0,887.2,932.0,1228.6,Olea europaea L.; Tracheophyta; Pinus pinaster Aiton,7.0,114.35023498535156,114.35023498535156,3.9648525714874254,112.0,29.874,29.874,22.912755358533698,92.99797591207664,48.239089750982416,198.325625,9.148213589764069,59.99590586872819
2001,2001-08-25,Castelo Branco,Fundão,Souto da Casa,SOUTO DA CASA,40.0841112,-7.5792867,Natural,25.022,2001-08-25T03:00,25.6,36,9.3,23.9,0.0,0.0,0.0,0.0,2,1011.5,943.2,57,0,51,87,0.1,2.11,10.5,21.9,128,139,35.3,23.5,26.7,23.4,20.0,0.092,0.148,0.198,0.328,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinus pinaster Aiton; Magnoliopsida; Olea europaea L.; Tracheophyta; Eucalyptus L'Hér.; Quercus L.; Pinales; Quercus suber L.; ,20.0,156.4164581298828,156.4164581298828,11.670869827270508,242.0,25.022,25.022,40.725913033871045,92.51970399450867,211.445451454,830.5936796874998,10.411674357457576,258.4230595303594
2001,2001-07-29,Castelo Branco,Sertã,Marmeleiro,MARMELEIRO,39.7457318,-8.0895634,Natural,29.874,2001-07-29T16:00,33.6,22,9.3,32.2,0.0,0.0,0.0,0.0,0,1013.5,981.2,19,0,30,4,0.58,4.04,12.0,15.5,83,85,30.2,38.7,27.2,23.1,19.6,0.094,0.154,0.206,0.34,1,3600.0,582.2,441.5,140.8,658.9,582.2,889.0,641.0,486.0,155.0,658.9,641.0,978.7,Magnoliopsida; Eucalyptus L'Hér.; Tracheophyta; Pinus pinaster Aiton,11.0,193.6611785888672,193.6611785888672,6.857487201690674,322.0,29.874,29.874,54.035644959486,95.1402802882284,312.72677079414063,725.897755859375,16.155635544633938,312.3707199639183
2001,2001-08-25,Viseu,Sátão,Mioma,SEIXO BRANCO,40.7498415,-7.7226843,Natural,25.022,2001-08-25T04:00,23.6,38,8.5,22.3,0.0,0.0,0.0,0.0,2,1011.0,942.4,52,0,42,89,0.05,1.8,6.3,19.9,121,148,25.6,21.7,25.0,21.8,18.5,0.08,0.162,0.236,0.341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pinus pinaster Aiton; Tracheophyta; Magnoliopsida; Pinales,9.0,187.3359832763672,187.3359832763672,4.3804144859313965,112.0,25.022,25.022,27.56339890035748,89.99960165276111,164.587369584,798.9978046874999,5.888764208971921,217.27982799460943
2001,2001-08-25,Viseu,Viseu,Santos Evos,Corvos-á-Nogueira \ POVI,40.6621172,-7.8219064,Natural,25.022,2001-08-25T11:00,31.7,31,12.6,31.4,0.0,0.0,0.0,0.0,1,1012.1,970.7,40,0,18,97,0.59,3.21,12.6,17.0,160,159,27.0,33.0,25.3,22.4,19.3,0.088,0.158,0.233,0.34,1,3600.0,731.1,524.2,206.9,651.5,731.1,1077.3,689.0,494.0,195.0,651.5,689.0,1015.2,Eucalyptus L'Hér.; Tracheophyta; Magnoliopsida; Pinus pinaster Aiton; Olea europaea L.; Pinales,17.0,315.9257202148437,315.9257202148437,2.851287841796875,242.0,25.022,25.022,44.67403280196102,92.82758122682937,188.67445663400005,856.1698046875001,12.08555144415932,243.30556810671035
2001,2001-08-25,Viseu,Viseu,Cota,Nogueira \ POVI,40.8043152,-7.8170878,Natural,25.022,2001-08-25T12:00,30.6,31,11.7,29.4,0.0,0.0,0.0,0.0,1,1013.2,939.2,37,0,13,98,0.61,3.01,16.7,22.7,155,155,47.2,31.8,23.9,20.6,17.5,0.105,0.152,0.217,0.331,1,3600.0,711.6,414.8,296.8,484.2,711.6,1147.3,693.0,404.0,289.0,484.2,693.0,1117.3,Pinus pinaster Aiton; Eucalyptus L'Hér.,8.0,146.88177490234375,146.88177490234375,6.478515148162842,241.0,25.022,25.022,53.576171875,93.65771484375,110.28125,681.9656982421875,17.8056640625,156.828125
2001,2001-07-28,Viseu,Mangualde,Santiago de Cassurrães,Contenças de Baixo,40.5670751,-7.715468846166242,Natural,25.022,2001-07-28T19:00,26.0,44,12.9,25.7,0.0,0.0,0.0,0.0,1,1014.7,964.7,25,0,31,22,0.15,1.88,8.7,14.7,318,324,29.5,30.4,25.7,21.3,17.6,0.08,0.166,0.25,0.352,1,3600.0,83.7,47.2,36.5,338.4,83.7,185.1,140.0,79.0,61.0,338.4,140.0,309.7,Tracheophyta; Olea europaea L.; Magnoliopsida; Pinus pinaster Aiton,11.0,192.635009765625,192.635009765625,6.100917339324951,242.0,25.022,25.022,32.81098420156744,91.3636575934676,130.02777131349217,596.095255859375,8.07437382844442,168.28464865007612
