year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation,scientificNames
2018,2018-07-12,Castelo Branco,Fundão,Souto da Casa,Salgueiral,40.1099529997508,-7.55956000010173,Natural,513.0,2018-07-12T13:00,27.2,43,13.7,28.8,0.0,0.0,0.0,0.0,0,1014.2,957.0,2,0,3,0,0.61,2.04,8.6,10.4,180,180,27.4,32.1,24.4,21.2,16.1,0.116,0.191,0.266,0.326,1,3600.0,830.5,652.8,177.7,690.0,830.5,1252.1,832.0,654.0,178.0,690.0,832.0,1254.3,Pinus pinaster Aiton; Magnoliopsida; Olea europaea L.; Tracheophyta; Eucalyptus L'Hér.; Quercus L.; Pinales; Quercus suber L.; 
2018,2018-08-21,Castelo Branco,Fundão,Orca,Galheiras (Moinho das Galinheiras),40.0100720002916,-7.37750999980503,Natural,355.0,2018-08-21T18:00,32.2,28,11.4,31.8,0.0,0.0,0.0,0.0,1,1013.1,973.8,23,0,17,43,0.2,3.46,6.0,8.6,197,213,38.9,34.1,29.4,25.4,20.7,0.152,0.177,0.24,0.331,1,3600.0,124.3,65.7,58.6,275.8,124.3,318.5,174.0,92.0,82.0,275.8,174.0,445.9,Pinus pinaster Aiton; Tracheophyta; Magnoliopsida; Olea europaea L.; Quercus L.; Quercus suber L.; Acacia Mill.; Pinales; Quercus rotundifolia Lam.; Vitis vinifera L.; 
2018,2018-08-21,Castelo Branco,Fundão,Vale de Prazeres,Brasido,40.0936169995202,-7.41371500015259,Natural,429.0,2018-08-21T18:00,32.2,25,9.9,31.1,0.0,0.0,0.0,0.0,0,1013.3,966.0,16,0,13,27,0.23,3.59,7.4,9.1,231,236,20.9,36.1,29.7,25.2,20.2,0.1,0.157,0.215,0.288,1,3600.0,143.2,82.4,60.9,343.0,143.2,321.0,200.0,115.0,85.0,343.0,200.0,448.2,Eucalyptus L'Hér.; Tracheophyta; Olea europaea L.; Pinus pinaster Aiton; Magnoliopsida; Quercus suber L.; Quercus L.; Vitis vinifera L.; 
2018,2018-08-21,Castelo Branco,Fundão,Souto da Casa,Courela,40.1162629996406,-7.5606800005171,Natural,491.0,2018-08-21T19:00,30.1,31,11.3,29.1,0.0,0.0,0.0,0.0,0,1013.9,959.6,18,0,12,35,0.16,2.94,10.0,15.6,240,236,29.9,34.7,30.0,25.2,20.2,0.091,0.158,0.221,0.311,1,3111.72,22.5,10.6,11.9,121.6,20.6,61.8,70.0,33.0,37.0,209.9,70.0,192.4,Pinus pinaster Aiton; Magnoliopsida; Olea europaea L.; Tracheophyta; Eucalyptus L'Hér.; Quercus L.; Pinales; Quercus suber L.; 
2019,2019-07-23,Castelo Branco,Fundão,Bogas de Cima,Bogas do Meio (Ladeira da Várzea),40.0701820000013,-7.74792499966092,Natural,525.0,2019-07-23T07:00,24.9,54,15.0,26.3,0.0,0.0,0.0,0.0,0,1014.9,956.0,2,0,4,0,0.08,1.45,1.6,4.5,333,104,7.2,23.1,25.7,22.0,16.5,0.122,0.159,0.207,0.302,1,3600.0,200.8,129.9,70.9,446.1,200.8,385.8,136.0,88.0,48.0,446.1,136.0,261.4,Olea europaea L.; Eucalyptus L'Hér.; Pinus pinaster Aiton; Magnoliopsida; Pinales; Tracheophyta; Pinus pinea L.; 
2019,2019-08-25,Castelo Branco,Fundão,Vale de Prazeres,Bica,40.1461999999152,-7.31179000006782,Natural,419.0,2019-08-25T16:00,28.9,31,9.9,28.2,0.0,0.0,0.0,0.0,1,1012.6,965.9,23,0,33,12,0.28,2.76,4.3,5.4,265,266,31.7,34.2,28.7,25.1,20.7,0.095,0.15,0.161,0.232,1,3600.0,293.6,137.0,156.6,236.1,293.6,777.0,330.0,154.0,176.0,236.1,330.0,873.3,Eucalyptus L'Hér.; Tracheophyta; Olea europaea L.; Pinus pinaster Aiton; Magnoliopsida; Quercus suber L.; Quercus L.; Vitis vinifera L.; 
2019,2019-08-25,Castelo Branco,Fundão,Vale de Prazeres,Quinta de São Bento (Ribeiro do Lagar),40.1614750003815,-7.31770000000795,Natural,410.0,2019-08-25T14:00,30.8,26,9.2,28.6,0.0,0.0,0.0,0.0,2,1012.9,967.5,63,0,70,71,0.5,3.27,13.3,16.9,183,182,29.5,34.9,28.4,25.1,20.8,0.095,0.15,0.161,0.232,1,3600.0,491.6,212.5,279.1,260.6,491.6,1091.6,509.0,220.0,289.0,260.6,509.0,1130.3,Eucalyptus L'Hér.; Tracheophyta; Olea europaea L.; Pinus pinaster Aiton; Magnoliopsida; Quercus suber L.; Quercus L.; Vitis vinifera L.; ; Pinales; Pinus pinea L.
2019,2019-08-25,Castelo Branco,Fundão,Silvares,Valongo,40.130537999471,-7.64883499993218,Natural,528.0,2019-08-25T17:00,24.5,45,11.6,24.1,0.0,0.0,0.0,0.0,1,1014.6,955.3,47,0,36,85,0.24,1.7,5.8,7.2,274,276,31.3,31.4,26.8,23.0,19.0,0.088,0.13,0.164,0.257,1,3600.0,261.5,149.8,111.7,360.5,261.5,556.4,316.0,181.0,135.0,360.5,316.0,672.3,Pinus pinaster Aiton; Magnoliopsida; Olea europaea L.
2019,2019-08-25,Castelo Branco,Fundão,Lavacolhos,Maunça (Barroca da Malhada),40.1080229997635,-7.65350000010596,Natural,748.0,2019-08-25T17:00,22.2,55,12.8,22.2,0.2,0.2,0.0,0.0,51,1014.7,931.2,53,0,52,73,0.2,1.19,5.9,7.5,14,17,33.5,28.2,24.1,20.6,17.0,0.11,0.142,0.205,0.306,1,3600.0,228.6,108.5,120.1,260.2,228.6,558.4,276.0,131.0,145.0,260.2,276.0,674.2,Olea europaea L.; Magnoliopsida; Pinus pinaster Aiton; Pinales; Eucalyptus L'Hér.; Acacia Mill.; Tracheophyta; 
2019,2019-08-25,Castelo Branco,Fundão,Orca,Pedra Alta,39.9921770000458,-7.37115199989743,Natural,370.0,2019-08-25T20:00,22.6,61,14.6,22.4,0.0,0.0,0.0,0.0,1,1013.8,971.5,26,0,14,58,0.08,1.07,11.9,20.6,3,356,29.9,27.5,28.3,24.7,20.8,0.129,0.16,0.192,0.29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.5,Pinus pinaster Aiton; Tracheophyta; Magnoliopsida; Olea europaea L.; Quercus L.; Quercus suber L.; Acacia Mill.; Pinales; Quercus rotundifolia Lam.; Vitis vinifera L.; 
