year,date,district,municipality,parish,local,latitude,longitude,cause,elevation,hourly.time,hourly.temperature_2m,hourly.relative_humidity_2m,hourly.dew_point_2m,hourly.apparent_temperature,hourly.precipitation,hourly.rain,hourly.snowfall,hourly.snow_depth,hourly.weather_code,hourly.pressure_msl,hourly.surface_pressure,hourly.cloud_cover,hourly.cloud_cover_low,hourly.cloud_cover_mid,hourly.cloud_cover_high,hourly.et0_fao_evapotranspiration,hourly.vapour_pressure_deficit,hourly.wind_speed_10m,hourly.wind_speed_100m,hourly.wind_direction_10m,hourly.wind_direction_100m,hourly.wind_gusts_10m,hourly.soil_temperature_0_to_7cm,hourly.soil_temperature_7_to_28cm,hourly.soil_temperature_28_to_100cm,hourly.soil_temperature_100_to_255cm,hourly.soil_moisture_0_to_7cm,hourly.soil_moisture_7_to_28cm,hourly.soil_moisture_28_to_100cm,hourly.soil_moisture_100_to_255cm,hourly.is_day,hourly.sunshine_duration,hourly.shortwave_radiation_instant,hourly.direct_radiation_instant,hourly.diffuse_radiation_instant,hourly.direct_normal_irradiance_instant,hourly.global_tilted_irradiance_instant,hourly.terrestrial_radiation_instant,hourly.shortwave_radiation,hourly.direct_radiation,hourly.diffuse_radiation,hourly.direct_normal_irradiance,hourly.global_tilted_irradiance,hourly.terrestrial_radiation2010,2010-02-14,Porto,Vila Nova de Gaia,Oliveira do Douro,Monte da Virgem,41.11258085,-8.597501604999291,NC,206.0,2010-02-14T17:00,8.1,49,-2.0,3.8,0.0,0.0.1,0.0.2,0.0.3,3,1004.1,979.3,85,0,92,100,0.11,0.55,12.6,21.6,87,93,31.7,7.4,5.6,8.5,11.5,0.371,0.382,0.389,0.411,1,3600.0,128.9,47.4,81.6,253.2,128.9.1,262.6,185.0,68.0,117.0,253.2.1,185.0.1,376.8,scientificNames
2010,2010-06-17,Bragança,Vimioso,Vale de Frades,VALE FRADES (Couto do Vale),41.644564,-6.497929,NC,725.0,2010-06-17T17:00,20.6,37,5.3,19.0,0.0,0.0,0.0,0.0,0,1014.0,932.6,14,1,21,0,0.34,1.54,3.6,4.4,96,99,13.7,21.4,16.3,14.2,11.4,0.279,0.311,0.293,0.366,1,3600.0,469.4,365.5,103.9,706.0,469.4,686.0,542.0,422.0,120.0,706.0,542.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castanea sativa Mill.; Magnoliopsida; Quercus L.; Pinus pinaster Aiton; Tracheophyta
2010,2010-06-27,Porto,Valongo,Alfena,R. LUIS CAMOES (ALFENA),41.22144345,-8.47176603571262,NC,183.0,2010-06-27T18:00,25.6,63,18.2,27.0,0.0,0.0,0.0,0.0,0,1015.4,994.4,7,0,1,21,0.25,1.2,11.1,14.7,324,329,19.1,27.8,23.4,18.8,14.8,0.141,0.215,0.282,0.372,1,3600.0,270.4,181.4,89.1,487.4,270.4,492.5,334.0,224.0,110.0,487.4,334.0,608.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Eucalyptus L'Hér.; Tracheophyta; Pinus pinaster Aiton
2010,2010-06-27,Aveiro,Santa Maria da Feira,Lobão,Tugilde (Togilde),40.98260465,-8.4900676884166,Desconhecida,179.0,2010-06-27T20:00,23.5,73,18.3,25.5,0.0,0.0,0.0,0.0,0,1016.6,995.9,16,2,6,36,0.05,0.79,7.5,11.5,325,340,19.1,25.2,23.8,19.1,15.2,0.152,0.185,0.242,0.345,1,2360.55,7.1,3.4,3.7,39.4,5.5,17.6,54.0,26.0,28.0,198.8,54.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Tracheophyta
2010,2010-07-30,Lisboa,Torres Vedras,Ramalhal,RETIRO / RAMALHAL (Ramalhal),39.1395108,-9.2160421,Desconhecida,53.0,2010-07-30T14:00,28.3,52,17.5,30.5,0.0,0.0,0.0,0.0,0,1013.0,1006.9,0,0,0,0,0.67,1.84,16.8,20.6,313,317,32.8,38.5,27.5,24.4,20.0,0.082,0.163,0.233,0.327,1,3600.0,917.9,809.8,108.2,904.8,917.9,1187.7,942.0,831.0,111.0,904.8,942.0,1218.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Pinus pinaster Aiton; Magnoliopsida; Tracheophyta; Vitis vinifera L.; Pinales; Quercus suber L.; 
2010,2010-07-30,Viana do Castelo,Caminha,Vila Praia de Âncora,TELHEIRA (GONDAR),41.8135365,-8.8624681,Desconhecida,16.0,2010-07-30T13:00,28.4,45,15.4,31.2,0.0,0.0,0.0,0.0,0,1012.5,1010.7,0,0,0,0,0.67,2.13,8.7,8.7,322,336,20.2,35.6,26.3,22.7,18.2,0.082,0.164,0.253,0.352,1,3600.0,926.8,817.7,109.1,892.6,926.8,1215.6,926.0,817.0,109.0,892.6,926.0,1214.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Pinus pinaster Aiton; Magnoliopsida; Eucalyptus L'Hér.
2010,2010-07-30,Braga,Fafe,Fafe,SOL POENTE (FAFE) (ABOIM),41.4468733,-8.180584376446348,NC,343.0,2010-07-30T15:00,33.3,28,12.4,34.9,0.0,0.0,0.0,0.0,0,1012.3,974.5,0,0,0,0,0.66,3.68,6.5,7.2,273,276,17.6,37.5,26.8,22.0,16.6,0.097,0.149,0.234,0.346,1,3600.0,793.0,694.9,98.2,879.4,793.0,1048.6,840.0,736.0,104.0,879.4,840.0,1110.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Pinus pinaster Aiton; Tracheophyta; Eucalyptus L'Hér.
2010,2010-08-04,Porto,Paredes,Recarei,ROCHAO (CETE),41.1536564,-8.4122951,Desconhecida,87.0,2010-08-04T16:00,29.9,41,15.2,29.1,0.0,0.0,0.0,0.0,1,1014.3,1004.4,25,0,0,84,0.6,2.5,23.4,32.0,331,334,43.2,35.1,27.5,23.7,18.8,0.114,0.137,0.205,0.349,1,3600.0,652.0,564.8,87.2,860.3,652.0,872.4,718.0,622.0,96.0,860.3,718.0,960.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Pinus pinaster Aiton; Eucalyptus L'Hér.; Tracheophyta; Vitis vinifera L.
2010,2010-08-04,Lisboa,Torres Vedras,Carvoeira,CRUZAMENTO DE ALDEIA NOSSA SENHORA DA GLÓRIA (CAMPELOS),39.0862473,-9.167073173503926,Desconhecida,165.0,2010-08-04T18:00,23.8,57,14.7,21.2,0.0,0.0,0.0,0.0,0,1013.4,994.4,1,1,0,0,0.3,1.28,28.5,40.3,351,352,50.8,31.3,26.9,23.6,19.7,0.082,0.161,0.229,0.325,1,3600.0,284.0,226.5,57.4,701.7,284.0,429.0,366.0,292.0,74.0,701.7,366.0,553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitis vinifera L.; Magnoliopsida; Eucalyptus L'Hér.; Tracheophyta; Pinus pinea L.; 
2010,2010-06-27,Porto,Gondomar,Gondomar (são Cosme),RUA PEVIDAL (FANZERES),41.1548538,-8.5535287,NC,55.0,2010-06-27T23:00,22.6,84,19.7,25.7,0.0,0.0,0.0,0.0,0,1017.5,1011.1,5,1,2,10,0.0,0.45,4.0,6.2,95,100,7.6,21.9,23.5,19.5,15.7,0.158,0.219,0.284,0.373,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Tracheophyta; Eucalyptus L'Hér.
2010,2010-08-04,Porto,Penafiel,Rans,R. LIBERDADE (BUSTÊLO),41.1581883,-8.2886642,NC,292.0,2010-08-04T19:00,25.6,49,14.3,25.3,0.0,0.0,0.0,0.0,1,1014.1,980.9,26,0,0,88,0.16,1.66,11.5,20.1,316,324,34.6,29.7,26.6,22.4,17.3,0.11,0.144,0.219,0.346,1,3600.0,85.8,42.6,43.2,333.7,85.8,169.8,149.0,74.0,75.0,333.7,149.0,294.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Eucalyptus L'Hér.; Tracheophyta
2010,2010-07-30,Porto,Penafiel,Sebolido,RUA 5 DE OUTUBRO (CABEÇA SANTA),41.0526434,-8.3463266,Desconhecida,133.0,2010-07-30T15:00,34.7,30,14.5,35.8,0.0,0.0,0.0,0.0,0,1012.0,997.2,0,0,0,0,0.72,3.87,13.4,15.6,306,308,25.6,38.6,27.7,23.0,18.0,0.1,0.155,0.244,0.351,1,3600.0,790.6,692.3,98.2,871.5,790.6,1054.3,837.0,733.0,104.0,871.5,837.0,1116.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Tracheophyta; Magnoliopsida; Quercus L.
2010,2010-08-07,Porto,Maia,Silva Escura,TAÍNS (SÃO PEDRO DE AVIOSO),41.2513247,-8.5822439,NC,90.0,2010-08-07T23:00,24.8,67,18.2,27.0,0.0,0.0,0.0,0.0,0,1014.0,1003.6,0,0,0,0,0.02,1.05,5.5,7.6,32,45,11.9,25.9,27.9,23.6,18.9,0.103,0.142,0.215,0.342,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Eucalyptus L'Hér.; Tracheophyta; Pinus pinaster Aiton; 
2010,2010-07-27,Lisboa,Torres Vedras,Maceira,CASAL DA BARREIRINHA,39.1690284,-9.3182426,Desconhecida,24.0,2010-07-27T12:00,29.8,39,14.3,31.9,0.0,0.0,0.0,0.0,0,1013.0,1010.3,0,0,0,0,0.68,2.56,9.7,11.6,195,187,25.9,35.9,26.1,22.2,19.1,0.088,0.159,0.228,0.322,1,3600.0,939.6,827.4,112.2,893.2,939.6,1228.5,913.0,804.0,109.0,893.2,913.0,1193.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Tracheophyta; Vitis vinifera L.; Magnoliopsida; Pinus pinea L.; 
2010,2010-08-04,Aveiro,Sever do Vouga,Sever do Vouga,Póvoa,40.6902408,-8.3330129,Desconhecida,288.0,2010-08-04T18:00,27.5,48,15.5,26.7,0.0,0.0,0.0,0.0,1,1012.9,980.4,26,0,0,88,0.32,1.91,17.5,25.0,323,327,40.7,32.6,27.4,23.2,18.2,0.096,0.14,0.215,0.336,1,3600.0,273.1,216.5,56.6,683.4,273.1,420.9,352.0,279.0,73.0,683.4,352.0,542.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus L'Hér.; Tracheophyta; Magnoliopsida
2010,2010-07-30,Porto,Gondomar,Rio Tinto,R. JOAQUIM FERREIRO (Rio Carreiro),41.1807166,-8.5575691,NC,71.0,2010-07-30T15:00,32.7,36,15.6,34.2,0.0,0.0,0.0,0.0,0,1012.0,1004.0,0,0,0,0,0.69,3.17,13.4,15.6,306,308,25.6,36.8,27.4,23.0,18.3,0.114,0.146,0.227,0.352,1,3600.0,790.7,692.4,98.2,872.1,790.7,1053.6,837.0,733.0,104.0,872.1,837.0,1115.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Magnoliopsida
2010,2010-07-28,Porto,Paredes,Rebordosa,RUA CAVADA (VILELA),41.2202567,-8.4112601,NC,216.0,2010-07-28T22:00,25.1,61,17.1,27.1,0.0,0.0,0.0,0.0,0,1016.4,991.6,0,0,0,0,0.01,1.24,3.9,2.5,202,188,8.3,26.3,27.7,21.8,17.2,0.121,0.14,0.214,0.352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnoliopsida; Pinus pinaster Aiton; Eucalyptus L'Hér.; Tracheophyta; Vitis vinifera L.
2010,2010-08-04,Porto,Lousada,Silvares,POCINHAS (Pocinho),41.2870545,-8.2796897,NC,316.0,2010-08-04T19:00,25.6,47,13.5,25.1,0.0,0.0,0.0,0.0,1,1014.1,978.2,26,0,0,88,0.17,1.74,11.5,20.1,316,324,34.6,30.1,26.9,22.7,17.3,0.092,0.147,0.23,0.344,1,3600.0,86.2,42.8,43.4,332.5,86.2,171.1,149.0,74.0,75.0,332.5,149.0,295.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Vitis vinifera L.; Magnoliopsida; Pinus pinaster Aiton
2010,2010-07-30,Braga,Barcelos,Várzea,L. (VARZEA) (POUSA),41.5150147,-8.581877812222526,NC,32.0,2010-07-30T14:00,33.0,34,14.9,34.6,0.0,0.0,0.0,0.0,0,1012.4,1008.8,0,0,0,0,0.74,3.34,13.5,15.2,316,324,26.3,37.6,27.6,23.2,18.3,0.099,0.149,0.232,0.345,1,3600.0,884.1,777.9,106.1,886.1,884.1,1165.1,908.0,799.0,109.0,886.1,908.0,1196.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinus pinaster Aiton; Magnoliopsida; Tracheophyta; Eucalyptus L'Hér.
2010,2010-06-28,Porto,Gondomar,Fânzeres,Igreja,41.1664268,-8.526894221764536,NC,103.0,2010-06-28T18:00,26.5,62,18.7,27.7,0.0,0.0,0.0,0.0,0,1017.7,1005.8,4,0,7,0,0.27,1.3,13.5,18.2,318,322,24.8,29.2,24.5,19.6,15.4,0.135,0.209,0.28,0.371,1,3600.0,284.1,217.7,66.4,585.5,284.1,492.2,351.0,269.0,82.0,585.5,351.0,608.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracheophyta; Magnoliopsida
